#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3558.1316405463676    All      -0.3560839095941246        0.14407260029418723        -0.004659665459150197      0.16270949046267372        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.747982826267     All      1.0805189629872203         -0.05823373173292623       0.030583714773424475       -0.3695644057968038        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7527.567144607599     All      0.3292183000925768         -0.035267381757453364      0.07160669091752503        -0.11552950006329943       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5319.290102583695     All      0.6830400417910784         0.18484982040654074        0.028599896712711015       -0.1610006630406828        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.92383786672      All      -0.5417058904592005        0.3574810362414027         -0.1458500689948128        0.28638614568348986        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4756.253925233275     All      -0.22187334753634103       0.41276477782981047        0.023051780380267672       0.20775121149128606        
Check         All|All|All                              All                   All      0.9731141572812095         1.0056671212815615         0.003332348329965207       0.010752278736663623       
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3558.1316405463676    All      -0.0004218404591786419     0.00012109049468452175     -0.0001450436207870334     0.00017037784293659288     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.747982826267     All      -2.104535371380375e-05     -2.0555160399680794e-06    -8.341128899800966e-05     2.4633521436835e-06        
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7527.567144607599     All      -5.0904362759116426e-05    1.2900110601031434e-06     -4.9188594972511665e-05    1.4806363618236312e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5319.290102583695     All      0.00031770523009380734     -5.851614973954091e-06     -0.0006119168364561018     -0.00013270014712125322    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.92383786672      All      -0.0003779340458715584     0.00010067783420984055     -0.0008349924880420905     0.0001186377554461344      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4756.253925233275     All      -5.997168629969516e-05     4.141565310192628e-07      -0.0006901980321838449     -1.1130712566277637e-05    
MWEBV         All|All|All                              All                   All      -1.0813905891824307        -3.9757096304845696        0.0035779741741626125      -0.9426152634658888        
Redshift      All|All|All                              All                   All      4.781205901896929          0.6783841576955218         5.155738884522809          -1.106347073948463         
