Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53355.69979393771 0.13303728888773175
Redshift 0.0267 0 F
Color 0.15456107661047597 0.012143941649376561
X0 0.0024474441039848615 2.8007471137626777e-05
X1 -1.834883274770959 0.051697236411139554
RestFrameMag_0_UX 17.04632085974729 0.0
RestFrameMag_0_B 17.170635512699835 0.012424686377241093
RestFrameMag_0_V 17.007699377077618 0.0
RestFrameMag_0_R 16.900378875340394 0.0
CovDayMaxDayMax 0.017698920234597793 -1
CovDayMaxRestFrameMag_0_B 0.0005371083615230507 -1
CovDayMaxX1 -0.002931718535781207 -1
CovDayMaxColor 0.00010027384688993232 -1
CovRestFrameMag_0_BDayMax 0.0005371083615230513 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0001543728315728004 -1
CovRestFrameMag_0_BX1 5.8572309560619604e-05 -1
CovRestFrameMag_0_BColor 0.00010017296914836666 -1
CovX1DayMax -0.0029317185357812057 -1
CovX1RestFrameMag_0_B 5.85723095606197e-05 -1
CovX1X1 0.0026726042525492535 -1
CovX1Color -3.6926394669586514e-05 -1
CovColorDayMax 0.00010027384688993303 -1
CovColorRestFrameMag_0_B 0.00010017296914836668 -1
CovColorX1 -3.692639466958657e-05 -1
CovColorColor 0.0001474753187834627 -1

dmu_estimate 0.032039406981215435
FirstPhase  -3.2626803717854225
LastPhase  43.29424959802359
LatestNegPhase  -2.3179058514765063
EarliestPosPhase  0.6138171445321015
NightsNegPhase  2
NightsPosPhase  27

salt3source   1
salt2_version   salt3-f22
