#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6118.795426767749     All      1.0953325884722176         -0.04175479121819592       0.11694389846752529        -0.3651680995440921       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5286.4999581157135    All      0.6789937702133343         0.19951923419796458        0.010793891008575862       -0.15569894884273447      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4327.084581331926     All      -0.5290715592186097        0.3304545232484912         -0.1249052099574266        0.2744019767761998        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3536.197952351219     All      -0.29824944464223346       0.10996121642072865        -0.059878013504088834      0.13029556130713418       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7481.16433344221      All      0.36296200429902115        -0.03401025518519063       0.1404466195900067         -0.12303943732911429      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4726.934551721563     All      -0.3176871249784873        0.4345784779426154         -0.08321915443605388       0.24132396702389686       
Check         All|All|All                              All                   All      0.9922802341452426         0.9987484054064133         0.0001820311685385434      0.0021150193912900517     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6118.795426767749     All      -0.00025699786348399857    -2.333267085807435e-05     -0.0004827577201991538     5.45691807682867e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5286.4999581157135    All      0.00018855360773696863     5.845378365073277e-06      -0.0006296840154917951     -8.761398680595156e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4327.084581331926     All      -0.0002053381943106216     4.240058579573572e-05      -0.000517478801175009      5.760396884214368e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3536.197952351219     All      -0.0004992475350409326     0.00012802915920934676     -0.0003633371474022216     0.0001881105879661808     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7481.16433344221      All      -9.359267091348856e-05     -6.105005359025298e-07     -0.00015257580156439183    2.347859464601445e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4726.934551721563     All      -0.0001382920052109659     -0.00011372391125569748    -0.0014102743823898932     -5.49314320625886e-05     
MWEBV         All|All|All                              All                   All      -1.0489536276912266        -3.955863634537593         -0.008819490351896775      -0.9472697970764092       
Redshift      All|All|All                              All                   All      5.119633719801423          0.9986635233015129         5.948171715737538          -1.0768959841836703       
