#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3582.1134971780616    All      -0.3226731627135359        0.12191083006305448        -0.0813186635667004       0.1411867543543819        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5355.142191688235     All      0.7226755530843223         0.17330423244761306        -0.1286964296250431       -0.18469144348382416      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7578.3030516185345    All      0.3011231127185683         -0.03157703306744253       0.14401983032052          -0.10194443942413667      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6198.244549664625     All      1.0298831666753019         -0.05612410260882328       0.029204378762223086      -0.35244503889045625      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4383.269344951163     All      -0.5102262702807288        0.3339357569057455         -0.1973985193221156       0.26616235506167574       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4788.311142689502     All      -0.22660839739249777       0.45668891374237575        0.2351335711437201        0.23306534540116064       
Check         All|All|All                              All                   All      0.99417400209143           0.998138597482523          0.0009441677126040826     0.0013335330188012362     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3582.1134971780616    All      -0.00034556978245649564    8.523430846553429e-05      -0.0004836621868210407    0.00011874344342916853    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5355.142191688235     All      0.00016485637097334114     3.338589422664334e-05      4.3396218753120004e-05    -4.08876855952835e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7578.3030516185345    All      -8.388719279606772e-05     9.488346749061913e-06      -3.476064294704248e-05    2.8864277348985283e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6198.244549664625     All      -0.00023443402232641245    1.2881233860082676e-05     -8.328853762948265e-05    7.684193046620717e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4383.269344951163     All      -0.00017349618851036133    1.5177135635261464e-05     -0.0008375648891503901    2.4080434635836924e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4788.311142689502     All      -0.00012131754530947544    -0.00012612561862722398    -0.001831254443812969     -8.32866228404317e-05     
MWEBV         All|All|All                              All                   All      -1.098778586167629         -4.009175020836153         0.004119574605106549      -0.9478280302760992       
Redshift      All|All|All                              All                   All      4.502235617819757          1.0459956901720524         3.765025619202996         -0.957795250103223        
