#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5336.628760563275     All      0.6875662937601106         0.1992077908293588         -0.1927021374849458       -0.16767384226911708       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4771.75732107807      All      -0.1757259633708168        0.4329687278867844         0.16319752313616043       0.2055546423215815         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7552.103860902745     All      0.2872252479502319         -0.030443673672309046      0.15208929427699136       -0.09668817208683816       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4368.1158061252745    All      -0.5309416112661447        0.3189487431266791         -0.20711425029693586      0.2675946912384833         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3569.729659524838     All      -0.2877446938111835        0.10267825707153122        -0.030188030397360066     0.12582644648803792        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6176.816402762386     All      1.0101559570316396         -0.024989917452700183      0.11609623958279691       -0.3320002246454387        
Check         All|All|All                              All                   All      0.9905352302938373         0.9983699277893443         0.0013786388167069674     0.002613541046708745       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5336.628760563275     All      0.00019533143448436616     2.0319680154767465e-07     -0.0009327822793641149    -0.00010518547555560334    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4771.75732107807      All      -0.00014609687967259317    -0.00011130007891909533    -0.0009074245372986455    -2.9159726663327885e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7552.103860902745     All      -4.527526764404025e-05     1.8126375786516573e-06     -5.939453207462966e-05    1.2687574699826594e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4368.1158061252745    All      -0.0004125661710411366     8.26203526226978e-05       -0.0008793602702927434    0.00012205673180251744     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3569.729659524838     All      -0.00018780110439216717    5.1548419742294546e-05     -4.050823754119464e-05    7.61563177821883e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6176.816402762386     All      -0.00011913578073931054    -9.058269470666213e-06     -1.453558984102177e-06    3.579100120124506e-05      
MWEBV         All|All|All                              All                   All      -1.1172567113881158        -3.98323703318777          0.025851337117677176      -0.9323904523174372        
Redshift      All|All|All                              All                   All      6.414261980744887          1.0438988179111597         10.19035590217321         -1.2945551805328983        
