#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7540.9310077699365    All      0.2934501553876143         -0.041873316419227535     0.3213411616589168         -0.09488590640376882      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4361.653459040564     All      -0.44914897735157866       0.30580472215042676       0.2041828014572422         0.25502499781812626       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6167.678199187927     All      1.0628566229483256         -0.07151139030803222      -0.35541409465384977       -0.38536148020323624      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4764.6978122689       All      -0.18014622641079436       0.46767801698868183       0.49306412577700964        0.2330208562315722        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3564.448473521004     All      -0.42124530521504483       0.14729192247795453       -0.2526414537825872        0.17391705163673776       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5328.7335607005225    All      0.6850993932008589         0.19134249265020387       -0.41593641593837827       -0.17939419854534622      
Check         All|All|All                              All                   All      0.9908656625593808         0.9987324475400072        -0.005403875481646558      0.0023213205340849585     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7540.9310077699365    All      -6.935760678504482e-05     8.6021581957476e-06       -0.0001633925649500893     1.810260051551472e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4361.653459040564     All      -0.00024171816772255352    9.533994071982038e-05     -0.0003630439783175052     9.358992945044811e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6167.678199187927     All      -8.029998414902104e-05     4.3623838204898494e-06    -0.00030318851373967507    1.4047407683119022e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4764.6978122689       All      -2.703276832707826e-05     8.298827967790072e-08     -0.0002450159234413825     -2.101441337040146e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3564.448473521004     All      -0.0007148441569374515     0.00018341462111986942    -0.000897449268661354      0.00025254339682433726    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5328.7335607005225    All      0.000237667384775739       6.19522889278543e-05      -0.0005687782571857714     -8.261814888675419e-05    
MWEBV         All|All|All                              All                   All      -1.1110675663803251        -3.9885320680030034       -0.07480470217422486       -0.9406230442412206       
Redshift      All|All|All                              All                   All      5.03444748841028           -0.39225864063521243      6.028920353117795          -1.4986136940287802       
