Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53654.93071264777 0.15694489179468987
Redshift 0.029 0 F
Color 0.012076625059029435 0.011389673320623928
X0 0.005282900706860051 5.906353941461717e-05
X1 1.4159923506098173 0.09211981091306105
RestFrameMag_0_UX 15.90981182893526 0.0
RestFrameMag_0_B 16.336049231912142 0.01213867658734087
RestFrameMag_0_V 16.287688756213083 0.0
RestFrameMag_0_R 16.315376482335346 0.0
CovDayMaxDayMax 0.024631699060446915 -1
CovDayMaxRestFrameMag_0_B 0.000535209132812607 -1
CovDayMaxX1 -0.008246956005881927 -1
CovDayMaxColor 7.846625131261985e-05 -1
CovRestFrameMag_0_BDayMax 0.0005352091328126062 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.00014734746929205737 -1
CovRestFrameMag_0_BX1 0.00019401263687492468 -1
CovRestFrameMag_0_BColor 9.021778952316953e-05 -1
CovX1DayMax -0.008246956005881932 -1
CovX1RestFrameMag_0_B 0.00019401263687492427 -1
CovX1X1 0.008486059562658122 -1
CovX1Color 1.08243890938883e-05 -1
CovColorDayMax 7.846625131261962e-05 -1
CovColorRestFrameMag_0_B 9.021778952316952e-05 -1
CovColorX1 1.0824389093888399e-05 -1
CovColorColor 0.0001297246583505325 -1

dmu_estimate 0.03192775013878981
FirstPhase  -4.490488481802508
LastPhase  43.02165923442628
LatestNegPhase  -4.490488481802508
EarliestPosPhase  0.32972531800228017
NightsNegPhase  1
NightsPosPhase  17

salt3source   1
salt2_version   salt3-f22
