#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7581.308823775845    All      0.2989002656177323         -0.040917923230621156      0.0975941599508734         -0.10633478466940842       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4790.21032410455     All      -0.2654362399120471        0.3958815658129389         -0.04415364303943894       0.21344259173569474        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.639963621825    All      0.6645363591687532         0.15603938106338866        0.1999866930948235         -0.1567097072154312        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6200.702951072523    All      0.9714756619720899         -0.08331592096846308       0.045775890838559305       -0.3415375524090132        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3583.534266041592    All      -0.32621266730302134       0.12831593569750943        -0.06570177540988127       0.14512295106494366        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4385.007875182179    All      -0.5354108860956895        0.34928202422670473        -0.0334660243962416        0.28668015145931897        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3009    5378.15928023487     All      0.18550966538817273        0.09271495031284438        -0.19872749933970604       -0.03909458712862153       
Check         All|All|All                              All                  All      0.9933621588359903         0.9980000129143018         0.0013078016989883645      0.0015690628374830234      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7581.308823775845    All      -8.918015086467805e-05     5.632096956566667e-06      -0.00010621563624008142    2.6143552331059795e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4790.21032410455     All      -0.00014446490463367105    -4.22799962998367e-05      -0.001048190290881651      -1.3490932090212328e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5356.639963621825    All      0.00014213929892174755     -1.8881269527261418e-05    -0.0011513731433082258     -0.00010383019188346448    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6200.702951072523    All      -0.00018546475134433103    -9.69762512879642e-06      -0.0003523524129034274     4.1529265683311094e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3583.534266041592    All      -0.0004900601694612075     0.00012950770259194565     -0.0001949978144391546     0.00019311178223941012     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4385.007875182179    All      -0.00026596414007382964    7.343356654890236e-05      -0.0004907874734030592     8.865140806726805e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3009    5378.15928023487     All      1.5213963566156194e-05     6.8504630698070755e-06     -9.859074156114236e-06     -3.1642324611520425e-06    
MWEBV         All|All|All                              All                  All      -1.0916612281424891        -4.011201465125991         -0.016636984310397382      -0.9517327374052204        
Redshift      All|All|All                              All                  All      6.210513420699893          0.4827733846732407         7.4085913396137295         -1.535101961726245         
