#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6021.578166737256     All      1.1026439378456534         -0.02096550133376951       0.006810048406813977      -0.3656926588103223        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7362.301346921463     All      0.39118970686021765        -0.03086788811366148       0.17682762820954984       -0.12958703905836183       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4651.831595435184     All      -0.3519585456365026        0.4393614517949729         0.004537005794123844      0.25796142254894805        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4258.334561503349     All      -0.5044787475809662        0.2946548576261421         -0.11733615608040344      0.2550679321902583         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3480.0137768925815    All      -0.24545375872031122       0.0909836197186209         -0.008808531575568263     0.10919563831044928        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5201.898318067029     All      0.602191989551927          0.2250299302158254         -0.061274385744816556     -0.12558848540167475       
Check         All|All|All                              All                   All      0.9941345823200181         0.9981964699081303         0.0007556090096993914     0.0013568097792967249      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6021.578166737256     All      -0.00011446462933836225    -1.8152447898452483e-05    -0.0003410778903030235    1.615130634149692e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7362.301346921463     All      -9.663399595710963e-05     1.215719168531567e-06      -0.000146111062535283     2.535260571931838e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4651.831595435184     All      -0.0001407164276098218     -6.870291942512488e-05     -0.0010664690722974692    -2.413444779154931e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4258.334561503349     All      -0.0003074361129621185     9.633428978025039e-05      -0.0005773274424782862    0.00010575783163610544     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3480.0137768925815    All      -0.0004459311304137678     0.00014593142602086867     8.371694505426272e-06     0.00019316269660647555     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5201.898318067029     All      0.00016952361480073204     5.894841140348356e-06      -0.0012675865683191327    -0.00010986584153749344    
MWEBV         All|All|All                              All                   All      -1.0076289765219788        -3.876772227227754         0.01658459229924004       -0.9338342545800584        
Redshift      All|All|All                              All                   All      5.850187490289585          0.636445542843056          10.907036815591377        -1.2115563204268764        
