#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4360.793257194781     All      -0.5111223873511648        0.373583061794891         -0.15360928735118629       0.28132279373906943        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3563.7454958119965    All      -0.32647779135865396       0.1520596508489236        -0.0804168008101458        0.15228675586208065        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7539.443791320322     All      0.24268389192453846        -0.0037695759048217425    0.09549562072068696        -0.07601647159303782       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6166.461814571186     All      1.1182096183144874         -0.04107567273392565      0.13870369793751447        -0.37142764965178293       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5327.059859296529     All      0.7097548379579641         0.20739569316152728       -0.27828232193655156       -0.17605336250871156       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4763.758122334521     All      -0.18213904515440604       0.47741561398999544       0.19395426318289388        0.22349393915324367        
Check         All|All|All                              All                   All      1.0509091243327653         1.16560877115659          -0.08415482825678833       0.033606005000861416       
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4360.793257194781     All      -0.00034662413310026727    0.00023542165556971172    -0.0006867031855495244     0.00015894705285006324     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3563.7454958119965    All      -0.00030132929969680993    0.000588103969153805      -0.00016179657282152553    0.0002824974392097935      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7539.443791320322     All      6.713106303934563e-06      7.365190806810296e-05     -7.967680395036742e-05     1.8248560137774612e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6166.461814571186     All      0.00010306971040021471     6.4628550351882e-05       6.585019983148466e-06      -1.2227691306397838e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5327.059859296529     All      0.0003612606944143482      0.0001530742678525152     -0.0011649581191582594     -0.00011979989866010247    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4763.758122334521     All      -4.2459096457074974e-05    6.713770117361813e-05     -0.0003353636666910917     2.0733542441046754e-05     
MWEBV         All|All|All                              All                   All      -1.0659212294014413        -3.8675516302968838       -0.06589967401029462       -0.9155239922589098        
Redshift      All|All|All                              All                   All      4.7320671855081216         -0.2243440558348908       7.020737054799753          -1.3011629527151292        
