#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5330.213520782052     All      0.6164123844348367         0.21535606458868983        -0.32660014618643035       -0.14521190223898628      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6170.11240864         All      1.0624360007637668         -0.05557712938095705       -0.042408259737122776      -0.36606614388557324      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7543.90720155692      All      0.3359009830474173         -0.04583574565852899       0.2373272784331648         -0.1137533848731605       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4766.578304745375     All      -0.24143759117987607       0.4630656025430113         0.21717552390492414        0.2391714138429518        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3565.8552612757235    All      -0.3212621446035032        0.12422689080393567        -0.06649258113402197       0.1421431764795042        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4363.374881224694     All      -0.4579991136239264        0.2968231829136414         -0.017873618927948642      0.24507283737603872       
Check         All|All|All                              All                   All      0.9940505188387154         0.9980588658097922         0.0011281963525652389      0.0013559967007746587     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5330.213520782052     All      0.0001232924214252138      4.343657046657747e-05      -0.0013073383383854996     -8.4352183491026e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6170.11240864         All      -0.0001719650980917257     -8.867528333572186e-06     -0.00042215404050972426    3.428744827632617e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7543.90720155692      All      -7.024590134005683e-05     7.4994496215025515e-06     -0.00014933807675008646    1.865994607387542e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4766.578304745375     All      -9.836881293931674e-05     -0.00010042504572223958    -0.0006441310991558237     -2.941439523363866e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3565.8552612757235    All      -0.000456466491581413      0.00013785042955649364     -0.0001306206082300279     0.00018775957583400417    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4363.374881224694     All      -0.00027152137143846467    7.951298336032471e-05      -0.00047912705582621234    9.296219809465743e-05     
MWEBV         All|All|All                              All                   All      -1.0792418678665925        -3.989288933358903         0.0034539216243673213      -0.9477439342767988       
Redshift      All|All|All                              All                   All      5.71830117032494           0.5067190277102895         7.203737112863983          -1.3761140580300604       
