#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4300.156011397537    All      -0.44666228569957317       0.2729931608956626         -0.2450447781782563        0.22348023191687774        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7434.60710694082     All      0.37619537535478936        -0.026995443690314147      0.18964881839624503        -0.12286935860743256       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5252.98658431798     All      0.5374412617853541         0.19241250981227864        -0.23183358236883098       -0.12273288363439912       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4697.517611687513    All      -0.2993797363156667        0.46862446140547576        0.1760564297166889         0.2580208236457097         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3514.191275090379    All      -0.2782259352991754        0.11365346653882114        0.0132401405426478         0.12823886029066425        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6080.716575414858    All      1.104647925006457          -0.022366636996906664      0.09945349038110131        -0.3626675680199195        
Check         All|All|All                              All                  All      0.9940166048321853         0.9983215179650173         0.0015205184895957652      0.0014701055915005146      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4300.156011397537    All      -0.0002955908954030612     7.238902200943376e-05      -0.0008200416204486586     8.326847407525365e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7434.60710694082     All      -3.7652192063106384e-05    1.6332553004043263e-06     -2.889194292447139e-05     1.1507247942299065e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5252.98658431798     All      0.00016825045935847378     2.073478012774432e-05      -0.0009081656587194746     -8.857797214179072e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4697.517611687513    All      -0.0001258728248530862     -8.800899204272955e-05     -0.001233938646459881      -4.2731518486855725e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3514.191275090379    All      -0.00036717087464267236    0.0001170271390052807      -0.00024684245918700596    0.00014670377743952225     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6080.716575414858    All      -5.677240694429556e-05     -1.9460201065171958e-05    -0.00025750661267301216    6.624755514400416e-07      
MWEBV         All|All|All                              All                  All      -1.0414087514280372        -3.9112201618626052        0.05367944707595723        -0.9323965231873492        
Redshift      All|All|All                              All                  All      4.494023373493471          1.0213758574149523         8.87681919975423           -0.7350238715674883        
