#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6291.654888499895     All      0.7665770739180544         -0.01932077817787814       0.2817788942234979        -0.24341828781345715       
Zeropoint     AB|PS|PS_g                3559.1831214038216    All      -0.5985426752915144        0.2417519365730314         -0.3727726343428211       0.25707646936794115        
Zeropoint     AB|PS|PS_r                4519.920945773627     All      -0.3248654475205719        0.48883565316266697        0.7313973962675999        0.29768812507228015        
Zeropoint     AB|PS|PS_i                5474.6031748996365    All      1.1505304636965297         0.2878520401889517         -0.6438974584335666       -0.30973693006937353       
Check         All|All|All               All                   All      0.993699414802498          0.999118851746772          -0.0034938022852899486    0.0016093765573906293      
Lambda        AB|PS|PS_z                6291.654888499895     All      2.087540208576088e-05      -2.1871343393099242e-05    -0.0005625839606779384    -3.902955963900251e-05     
Lambda        AB|PS|PS_g                3559.1831214038216    All      -0.0010853136414999322     0.00037249650242734034     -0.001235513300110794     0.00041972144032967226     
Lambda        AB|PS|PS_r                4519.920945773627     All      -0.00010389803256637977    -0.00021522252906733543    -0.001814590928563034     -0.00011723891000459001    
Lambda        AB|PS|PS_i                5474.6031748996365    All      8.19723811747433e-05       -2.5227102890866702e-05    -0.0013740944566587095    -9.623792333154828e-05     
MWEBV         All|All|All               All                   All      -0.4521926547094419        -2.6436804781759804        -0.047286653470182544     -0.7159498680755549        
Redshift      All|All|All               All                   All      3.617726378471052          0.16711578522468074        4.3145210430822685        -0.9314401336625734        
