#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                4953.1218742482815    All      0.5095407003784169        0.5624318010982066        1.9251758794057416         0.10314012905484567        
Zeropoint     AB|PS|PS_z                6894.663386223465     All      0.46429708644305245       -0.02920922994142927      0.25583733242981416        -0.1493343979940056        
Zeropoint     AB|PS|PS_i                5999.303320510456     All      1.0084306923290225        0.015745779997367038      -1.3033289647167898        -0.38151172003187483       
Zeropoint     AB|PS|PS_g                3900.3044488122487    All      -0.9854196795506218       0.4496285531695676        -0.8743850241951435        0.4284226333568257         
Check         All|All|All               All                   All      0.9968487995998702        0.998596904323712         0.0032992229236225024      0.0007166443857908877      
Lambda        AB|PS|PS_r                4953.1218742482815    All      -0.0002014122581942567    -9.41677242144592e-05     -0.0012074365938723555     -1.8949276671242734e-05    
Lambda        AB|PS|PS_z                6894.663386223465     All      -0.0003847447431783703    2.879706690600785e-05     -0.00012986784964772962    0.00012890876699760235     
Lambda        AB|PS|PS_i                5999.303320510456     All      -0.0001790425015762211    -1.023365587482614e-05    -0.00017614628229061007    4.712599512299068e-05      
Lambda        AB|PS|PS_g                3900.3044488122487    All      -0.0010022791289886486    0.0003869355126532364     -0.0014473293865082599     0.000387925249410506       
MWEBV         All|All|All               All                   All      -0.5021465229309658       -3.0408259190483733       0.06182352294654504        -0.824172499502844         
Redshift      All|All|All               All                   All      4.2147679355549865        0.1415222570852137        1.2281360952580755         -1.2719840499737514        
