#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6090.575926546155    All      0.785274718547985          0.044819483867541976       -0.148596472038127         -0.24782180825722036       
Zeropoint     AB|PS|PS_r                4375.465944983553    All      -0.24332733316897193       0.5008708662847638         0.24061144662016024        0.253147220729869          
Zeropoint     AB|PS|PS_i                5299.636883355325    All      1.0579061990540781         0.2830347205161843         0.17488505067189622        -0.24459681648073095       
Zeropoint     AB|PS|PS_g                3445.43294595105     All      -0.6081525486807335        0.170348575509216          -0.26535130526837547       0.24174201803523848        
Check         All|All|All               All                  All      0.9917010357523576         0.9990736461777061         0.001548719985553948       0.002470614027156176       
Lambda        AB|PS|PS_z                6090.575926546155    All      -0.00019627140239548713    -1.6439607371355104e-05    -0.00010745026879161175    5.3782119934749585e-05     
Lambda        AB|PS|PS_r                4375.465944983553    All      -0.0002519718565594661     -0.00015557928138294161    -0.0018637366973629733     -5.1771776013746876e-05    
Lambda        AB|PS|PS_i                5299.636883355325    All      0.0002645640825170237      4.8583152396164575e-05     -0.000608623072136234      -9.75121469066851e-05      
Lambda        AB|PS|PS_g                3445.43294595105     All      -0.0009799253637741187     0.0001921338240448242      -0.0011406229947412054     0.0003308774715112045      
MWEBV         All|All|All               All                  All      -0.47541502926220325       -2.51203433909275          -0.011630727491140597      -0.6639129379468512        
Redshift      All|All|All               All                  All      3.283470581914534          0.2498048871260039         2.8910559118158483         -0.8591501742246771        
