#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6238.806613537264    All      0.9353860060476531        0.07039427927626463        0.19648023746184784       -0.2729882521951516        
Zeropoint     AB|PS|PS_g                3529.28690306767     All      -0.5972119610414304       0.30052235443456254        0.03761044674350685       0.2940999826318741         
Zeropoint     AB|PS|PS_r                4481.954778018906    All      -0.20587137621218093      0.3466417625563878         -0.3543747086020137       0.16415759077853187        
Zeropoint     AB|PS|PS_i                5428.617923161302    All      0.8627244930107945        0.2810573269357519         0.12339842295884233       -0.18396142740380494       
Check         All|All|All               All                  All      0.9950271618048363        0.9986157232029669         0.003114398562183332      0.001307893811449412       
Lambda        AB|PS|PS_z                6238.806613537264    All      2.025322759354969e-05     -7.058130700246697e-05     -0.0010733679955351547    -7.748728012518986e-05     
Lambda        AB|PS|PS_g                3529.28690306767     All      -0.0010889544614187956    0.0004984356087924832      -0.0005527641201773421    0.0004923978455201899      
Lambda        AB|PS|PS_r                4481.954778018906    All      -4.137358146011119e-05    -0.00010970475475150735    -0.0006772658141580208    -5.248097388633389e-05     
Lambda        AB|PS|PS_i                5428.617923161302    All      7.559740167497068e-05     -3.10993379856694e-05      -0.0017750792058628716    -0.00011396827063969169    
MWEBV         All|All|All               All                  All      -0.46048446162951917      -2.594184665942123         0.06842395242076467       -0.6919629064595959        
Redshift      All|All|All               All                  All      3.9288512716224755        -0.41299272267707465       0.12573904121076954       -1.4086702754572231        
