#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6576.3839352172345    All      0.9704864819960384        -0.029406757500360925      0.2828722087197644        -0.3130748361243621       
Zeropoint     AB|PS|PS_g                3720.254069383198     All      -0.7065712993901487       0.3965687514551064         -0.20891379560796786      0.3500061435983595        
Zeropoint     AB|PS|PS_i                5722.356519730118     All      0.8617423285007058        0.2142540532121373         -0.28193140874797074      -0.2234895369013161       
Zeropoint     AB|PS|PS_r                4724.470115258463     All      -0.13054326442558478      0.41815202280020003        0.21013674905059343       0.18810554457515186       
Check         All|All|All               All                   All      0.9951142466810105        0.9995680699670828         0.0021637534144192117     0.0015473151478331837     
Lambda        AB|PS|PS_z                6576.3839352172345    All      -0.00066073761029229      -3.7728378880141496e-05    -0.0006582425872183099    0.00017356025959714663    
Lambda        AB|PS|PS_g                3720.254069383198     All      -0.0012113242501148019    0.0008262310103678812      0.0006908798049827147     0.0006945295745163893     
Lambda        AB|PS|PS_i                5722.356519730118     All      -0.0003777456406562468    3.176730116277726e-05      0.0008126196405690289     0.00016965532005764857    
Lambda        AB|PS|PS_r                4724.470115258463     All      1.1017757399469632e-05    -6.682984658355076e-05     -0.0006089758780349473    -5.253332223902547e-05    
MWEBV         All|All|All               All                   All      -0.45871759694627645      -2.847013310094937         -0.06619436801540424      -0.7809004369924335       
Redshift      All|All|All               All                   All      4.972189501188959         -0.341417999381477         -4.387390396623836        -1.9266058582761896       
