#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5222.766891263557     All      1.2530624121462117         0.44515160576228396        1.601804365976843         -0.19168195708309452      
Zeropoint     AB|PS|PS_r                4312.000835959755     All      -0.07220832645071429       0.3942779423242726         1.477725265635172         0.21789401634104413       
Zeropoint     AB|PS|PS_g                3395.4577478125143    All      -0.700016824413453         0.16775450825488036        -1.0033644651701363       0.23788612408469859       
Zeropoint     AB|PS|PS_z                6002.233548829987     All      0.5103974753976817         -0.008614239383319955      -2.08755312272092         -0.2622170985647452       
Check         All|All|All               All                   All      0.991234736679726          0.998569816958117          -0.011387956279041322     0.0018810847779030526     
Lambda        AB|PS|PS_i                5222.766891263557     All      0.00013436722594338323     8.609291385867794e-05      -0.0013870285855833871    -7.762124700639393e-05    
Lambda        AB|PS|PS_r                4312.000835959755     All      -7.979646266836516e-05     -1.2535468713305613e-05    -0.0006668597840936264    -7.849770835754816e-06    
Lambda        AB|PS|PS_g                3395.4577478125143    All      -0.0009085036058022413     0.00021142624064070088     -0.0014474509462737346    0.0003002049077535637     
Lambda        AB|PS|PS_z                6002.233548829987     All      -0.00021829059015114158    -9.836574556430999e-06     0.0005983049009286948     9.459993062603967e-05     
MWEBV         All|All|All               All                   All      -0.5350811675782066        -2.4452582084551366        -0.3497650103471122       -0.6378159111708419       
Redshift      All|All|All               All                   All      0.803922086290342          -0.5070408496820278        -5.936931004048782        -0.6919617210185841       
