#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4736.657670942742     All      -0.2515359019330866        0.19941038750701523        -0.24686349523615758      0.13587165817353364       
Zeropoint     AB|PS|PS_z                6593.348810315671     All      0.4823653841251484         -0.18425465492910575       -1.102318124401179        -0.26633147299583576      
Zeropoint     AB|PS|PS_g                3729.8510829157494    All      -0.5644260198006866        0.4865578393957293         0.256880115918956         0.3538033990479847        
Zeropoint     AB|PS|PS_i                5737.118289204384     All      1.3365400622291959         0.49731386285092327        1.1177453784690539        -0.22348374023713757      
Check         All|All|All               All                   All      1.0029435246205711         0.999027434824562          0.025443874750673112      -0.000140156011455006     
Lambda        AB|PS|PS_r                4736.657670942742     All      1.3382529358053866e-05     2.812320304720405e-06      6.812748036568281e-05     -4.028482876986692e-07    
Lambda        AB|PS|PS_z                6593.348810315671     All      -0.00042916106434822223    -1.614743362605293e-06     -7.97891103787662e-05     0.00013570528106310293    
Lambda        AB|PS|PS_g                3729.8510829157494    All      -0.0008759876260128656     0.000631560621256192       -8.782710621088194e-05    0.00048713874062481004    
Lambda        AB|PS|PS_i                5737.118289204384     All      -0.0002754253512553197     -0.00010370825810680933    0.00042346756901034016    7.483131925176775e-05     
MWEBV         All|All|All               All                   All      -0.47539328418463          -2.831031681037466         0.02990171596462532       -0.7659745478064112       
Redshift      All|All|All               All                   All      3.9488755724454667         0.5051361600115101         -5.519976865142385        -1.3680704374457535       
