#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5659.940897826413     All      0.6114271577902866        0.22551521538574093       -0.8811344389905085       -0.16502519887499845      
Zeropoint     AB|PS|PS_g                4456.8846122238965    All      -0.9908965846193133       0.9202417586747558        0.1328135682304041        0.6284474925542783        
Zeropoint     AB|PS|PS_z                7878.543728010929     All      0.21778934115350534       -0.2229744080525009       -0.8334617497807797       -0.18076482375438863      
Zeropoint     AB|PS|PS_i                6855.414238595991     All      1.1598795190557505        0.07620185273324864       1.587768163143173         -0.2821346670918199       
Check         All|All|All               All                   All      0.9981994333802289        0.9989844187412444        0.005985542602289007      0.0005228028330713785     
Lambda        AB|PS|PS_r                5659.940897826413     All      -0.0001012205722545409    -6.11698946389601e-05     -3.319280798659969e-05    1.1564580756161768e-05    
Lambda        AB|PS|PS_g                4456.8846122238965    All      -0.0004601361508242373    0.00018603331813802019    -0.0008995347682748035    0.00017033654909075227    
Lambda        AB|PS|PS_z                7878.543728010929     All      -0.0002105906212587057    0.00030203390102160775    0.0012604409163825378     0.00022322636085495804    
Lambda        AB|PS|PS_i                6855.414238595991     All      -0.0009282054400380473    -0.0001719045949003812    -0.0018831066834263653    0.00016231766433493617    
MWEBV         All|All|All               All                   All      -0.6379675451164668       -3.721878722224936        -0.15201046913439548      -1.0113148571269972       
Redshift      All|All|All               All                   All      5.948453197454146         0.15598722838490175       -2.267519086936139        -1.9879856951073276       
