#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5659.940897826413     All      0.4922431781252887        0.25464251120688175        -0.9613881962928672        -0.12029669374935825      
Zeropoint     AB|PS|PS_g                4456.8846122238965    All      -0.9827691372316096       1.0254874221931942         0.5302556493990307         0.6778181053395671        
Zeropoint     AB|PS|PS_z                7878.543728010929     All      0.20646214404893454       -0.2540574834071663        -0.9699488179515992        -0.19329075423956676      
Zeropoint     AB|PS|PS_i                6855.414238595991     All      1.2707332302237657        -0.03311383664694745       1.3406087105782505         -0.364880675414167        
Check         All|All|All               All                   All      0.9866694151663795        0.9929586133459622         -0.06047265426718518       -0.0006500180635249375    
Lambda        AB|PS|PS_r                5659.940897826413     All      3.192421369297053e-05     -8.192169807625033e-05     -0.00032248951042245964    -5.147458459188855e-05    
Lambda        AB|PS|PS_g                4456.8846122238965    All      -0.0006423454590627773    0.00041449363794882494     -0.0006276570675998803     0.0003162378106678888     
Lambda        AB|PS|PS_z                7878.543728010929     All      -0.0002427770958441693    0.0003636545605314499      0.001477641184684791       0.000263475081002422      
Lambda        AB|PS|PS_i                6855.414238595991     All      -0.0009468702032056171    -0.00021644501125677297    -0.0023510703697241972     0.00013300604276763166    
MWEBV         All|All|All               All                   All      -0.6318399774323531       -3.736308817562417         -0.20011672769398858       -1.020157925675616        
Redshift      All|All|All               All                   All      6.482371411956553         -0.6863231896677036        -0.7516827253356423        -2.3686238224740195       
