#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5055.810503970306     All      -0.029791345828567517      0.3455201469760638        0.2567385026200908         0.13370836080247028       
Zeropoint     AB|PS|PS_g                3981.1659598987353    All      -0.7823101804758925        0.6217276391637938        -0.27724528529394776       0.4449691255877575        
Zeropoint     AB|PS|PS_z                7037.604253317181     All      0.7763769113588195         -0.03569776760699028      0.5539648872526115         -0.23979853075316027      
Zeropoint     AB|PS|PS_i                6123.681491068496     All      1.0308364007265136         0.06722925489146547       -0.5381651949537547        -0.33789439007938515      
Check         All|All|All               All                   All      0.995111785780873          0.9987792734243328        -0.004707090375000167      0.0009845655576823376     
Lambda        AB|PS|PS_r                5055.810503970306     All      -4.223094642235766e-05     2.5862867892002098e-05    -0.00023549590400424425    1.1671294939992931e-05    
Lambda        AB|PS|PS_g                3981.1659598987353    All      -0.000725536425300768      0.0006198032875060751     -9.167891191747321e-05     0.00043413019605021146    
Lambda        AB|PS|PS_z                7037.604253317181     All      -0.00023735339331566066    2.499849555528082e-06     -0.00034661739589556966    6.266014971775104e-05     
Lambda        AB|PS|PS_i                6123.681491068496     All      -0.00027429133129431367    -8.628650037502102e-05    -0.0025026987363822232     -5.04445915195674e-05     
MWEBV         All|All|All               All                   All      -0.49789145050198025       -3.1451868782987447       0.05628624833308171        -0.8597994175163298       
Redshift      All|All|All               All                   All      6.747376975366789          -0.9547103929012479       3.0358927840815286         -2.3733452953905108       
