#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3736.655311099847    All      -0.6450812360166137        0.42716432872929033        0.4849561926269748        0.37090702382273605        
Zeropoint     AB|PS|PS_z                6605.376810577725    All      0.8841481479779353         0.06550150618451767        1.5498730487355032        -0.19749642805102727       
Zeropoint     AB|PS|PS_r                4745.298578825277    All      -0.13648917756307222       0.4113141864497294         -0.5111665144466623       0.1556265640174622         
Zeropoint     AB|PS|PS_i                5747.584300069459    All      0.8925129091081654         0.09492579485819164        -1.5183525889567373       -0.3275574654518068        
Check         All|All|All               All                  All      0.9950906435064147         0.998905816221729          0.005310137959078531      0.001479694337364168       
Lambda        AB|PS|PS_g                3736.655311099847    All      -0.0009829530519597004     0.0005691945680211135      8.12801714831528e-05      0.0005092127047146599      
Lambda        AB|PS|PS_z                6605.376810577725    All      -0.0007325964689305893     -5.6028937187027114e-05    -0.0013271939616750605    0.00016115373257136122     
Lambda        AB|PS|PS_r                4745.298578825277    All      -0.00013796090366361926    -3.245974157271169e-05     -0.0010113066075226021    -1.0764769752341671e-05    
Lambda        AB|PS|PS_i                5747.584300069459    All      -0.00025235813994393936    -2.1746035634659467e-05    0.0006517611267200963     0.00010420305494134629     
MWEBV         All|All|All               All                  All      -0.47512774008235414       -2.842452239917037         0.08416964925642197       -0.7673593673897567        
Redshift      All|All|All               All                  All      5.405363614593951          0.28376433098511455        -0.2718586538034654       -1.6804051854006228        
