#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6686.698778082529     All      1.0750276783916082         -0.16881684430796184      0.2360400078202457        -0.39462770085609         
Zeropoint     AB|PS|PS_g                3782.6590699314856    All      -0.3323874883294622        0.3533664148305249        0.50607253111975          0.24595629964931365       
Zeropoint     AB|PS|PS_r                4803.720229534114     All      -0.3892038778614965        -0.2210356790920187       -3.9360181927200246       -0.12086849955477708      
Zeropoint     AB|PS|PS_i                5818.345571846245     All      0.647224065498968          1.0339199914129793        3.2096141741010635        0.2691899243536994        
Check         All|All|All               All                   All      1.0006603776996172         0.9974338828435236        0.015708520321034758      -0.0003499764078540579    
Lambda        AB|PS|PS_z                6686.698778082529     All      -0.0011128502170279957     0.00014787187482544247    -0.0008485098111267771    0.0003727935660355276     
Lambda        AB|PS|PS_g                3782.6590699314856    All      -0.0006089056392809197     7.849226424760887e-05     -0.0024015368326624625    0.00011673855291653788    
Lambda        AB|PS|PS_r                4803.720229534114     All      -0.00026311991699342724    0.00027506128136152463    0.0003301517918509763     0.0001900364800776989     
Lambda        AB|PS|PS_i                5818.345571846245     All      -0.0003312724316969408     -0.0004892384616528751    -0.0014149603110588096    -0.0001145979128895737    
MWEBV         All|All|All               All                   All      -0.4724987124389082        -2.854084982785743        0.3146176350190169        -0.7617210600486091       
Redshift      All|All|All               All                   All      9.332271713375494          -6.179470031124623        -31.50460087958739        -6.458590249186837        
