#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5311.922659059626    All      1.970230907570649         0.4147237453606678         1.9603896212864707        -0.4191966723432361        
Zeropoint     AB|PS|PS_r                4385.609280156328    All      -0.851653222279442        0.5631597406770439         -0.4060937491472877       0.4427290290955399         
Zeropoint     AB|PS|PS_z                6104.695280643523    All      0.21581480746432175       -0.07275857224442461       -1.2947391850612722       -0.15177610686063214       
Zeropoint     AB|PS|PS_g                3453.420250989082    All      -0.34209672354940984      0.09313324019917246        -0.26810244476703216      0.1298045370734524         
Check         All|All|All               All                  All      0.9922957692061191        0.9982581539924595         -0.00854575768912147      0.0015607869651240724      
Lambda        AB|PS|PS_i                5311.922659059626    All      0.0006045008266428829     0.0001678271120851791      -0.0004959128086318282    -0.00016436930597402748    
Lambda        AB|PS|PS_r                4385.609280156328    All      -0.0003744136816828198    -2.5564933245377557e-06    -0.0011954931178817009    6.777675283664138e-05      
Lambda        AB|PS|PS_z                6104.695280643523    All      0.00015133366607038932    -3.911599290527898e-05     -0.0003202703287566179    -7.63279133600407e-05      
Lambda        AB|PS|PS_g                3453.420250989082    All      -0.0009875711864259474    0.00024086720932235505     -0.0011984598682675666    0.00034666104032431464     
MWEBV         All|All|All               All                  All      -0.4131043205246461       -2.5352142165752767        -0.05615033460227847      -0.6937467400296882        
Redshift      All|All|All               All                  All      -0.2099449940501609       -0.463102889507816         2.0481741152139605        0.008938748640605065       
