#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3729.285182281109    All      -0.7041029056642905        0.3043519255051308         -0.43449162647332396      0.3090975499487218        
Zeropoint     AB|PS|PS_r                4735.939015553431    All      -0.07696154609657935       0.6616168205766826         1.4495287349560015        0.30526508252841505       
Zeropoint     AB|PS|PS_z                6592.348453949366    All      0.5531838347996804         0.007472973635280766       0.5465372746218444        -0.1533665324238459       
Zeropoint     AB|PS|PS_i                5736.247841883916    All      1.222783838040026          0.025744303287034143       -1.5571139030459813       -0.4594019998274565       
Check         All|All|All               All                  All      0.9949032210788366         0.9991860230041283         0.004460480058540606      0.0015941002258344494     
Lambda        AB|PS|PS_g                3729.285182281109    All      -0.0012746219969101207     0.00047769352887536354     -0.001375205216925661     0.0005094177234744849     
Lambda        AB|PS|PS_r                4735.939015553431    All      -0.00015019956962588195    -5.3130862034691955e-05    -0.0008201078192847899    -4.979173827630699e-06    
Lambda        AB|PS|PS_z                6592.348453949366    All      -0.00041394329090234416    -2.6135624635684156e-05    -0.0006989023375335889    9.513291401451412e-05     
Lambda        AB|PS|PS_i                5736.247841883916    All      -0.0004344562124120792     -1.082846714242289e-05     0.0004938769504674135     0.00016002895357774985    
MWEBV         All|All|All               All                  All      -0.47758699726446086       -2.846526810582972         -0.01013030628040923      -0.7720937020452533       
Redshift      All|All|All               All                  All      7.397091112980506          0.7714912306507671         4.545079959557163         -1.9553498136385696       
