#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5882.62167821019     All      0.7681900829205586         0.07326510272598341        -2.1627950973959087       -0.3228755402403305        
Zeropoint     AB|PS|PS_g                3824.446652624053    All      -0.8224684678066065        0.43745844291258607        -0.03723334900751496      0.408738091825786          
Zeropoint     AB|PS|PS_r                4856.787622765313    All      0.2891606385300288         0.4920600411221443         0.9072584487731516        0.10657778829773201        
Zeropoint     AB|PS|PS_z                6760.567708103356    All      0.7611418528805518         -0.003932448971255553      1.299081568255367         -0.1912378263846326        
Check         All|All|All               All                  All      0.9960241065245325         0.9988511377894582         0.006311570625094909      0.0012025134985549357      
Lambda        AB|PS|PS_i                5882.62167821019     All      -0.00020252408858906313    -1.2849680286288217e-05    0.0005807479779215521     8.76993098625497e-05       
Lambda        AB|PS|PS_g                3824.446652624053    All      -0.001134433671429732      0.0004461801452109698      -0.0015240010716612623    0.0004468487523853775      
Lambda        AB|PS|PS_r                4856.787622765313    All      -0.00022363531631364796    -8.489204625038393e-05     -0.0015222839360716754    -2.2739292892037633e-05    
Lambda        AB|PS|PS_z                6760.567708103356    All      -0.0006853817739590615     2.2416074943305275e-05     -0.0011887131561956644    0.000177506236646111       
MWEBV         All|All|All               All                  All      -0.4912097191994964        -2.9464756641633727        0.11835214171588282       -0.7944793816119872        
Redshift      All|All|All               All                  All      5.900269072207968          0.6395501971944384         13.012577944526171        -1.1328976210467245        
