#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                7432.461282925124     All      0.4813011309467827         -0.05891184464079657       0.1860858105990714         -0.16766098356205425       
Zeropoint     AB|PS|PS_i                6467.26129419379      All      1.096887819821979          -0.07964889825817778       -0.02109190499523987       -0.3841779508353435        
Zeropoint     AB|PS|PS_g                4204.53620191837      All      -0.8121096622015003        0.7097592575872724         -0.020771601358642505      0.4947958340073742         
Zeropoint     AB|PS|PS_r                5339.4755476415785    All      0.23017123404346754        0.4276642328573388         -0.1431686853387107        0.05794100616367032        
Check         All|All|All               All                   All      0.9962505226107288         0.9988627475456369         0.001053618906478343       0.0008979057736467899      
Lambda        AB|PS|PS_z                7432.461282925124     All      -9.099032160914735e-05     -5.65374367517754e-05      -0.000622330576656174      -1.6549317310919846e-05    
Lambda        AB|PS|PS_i                6467.26129419379      All      -0.00033629140842837923    -3.5046062866674665e-05    -0.0004996021018218421     7.583057251208866e-05      
Lambda        AB|PS|PS_g                4204.53620191837      All      -0.0005974600409154201     0.00035373391633850644     -0.000982745309086804      0.00026597975567069524     
Lambda        AB|PS|PS_r                5339.4755476415785    All      4.6828964444769015e-05     8.969880969969993e-05      -0.00039169063585302164    -3.5152351325514843e-06    
MWEBV         All|All|All               All                   All      -0.548361094073361         -3.4006948958884564        0.026900858006152713       -0.9278984965043169        
Redshift      All|All|All               All                   All      5.932274462552922          0.2348883440776106         0.057303912964965995       -1.8532688867749547        
