#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6369.206456512279    All      0.9891751077692215         -0.029875476759499975     -0.18171219530707106       -0.3400472818520489       
Zeropoint     AB|PS|PS_r                5258.519887384209    All      0.3485559738095397         0.39413498778095857       -0.14261089588072373       0.008482515060508067      
Zeropoint     AB|PS|PS_g                4140.788179989015    All      -0.8171533791602066        0.6535143348838091        -0.0030892519565561827     0.47890699886839333       
Zeropoint     AB|PS|PS_z                7319.772348379426    All      0.4764158844304673         -0.019557565859606996     0.3286382365338403         -0.14688925468564762      
Check         All|All|All               All                  All      0.9969935868490217         0.9982162800456607        0.0012258933894893076      0.00045297739120486735    
Lambda        AB|PS|PS_i                6369.206456512279    All      -0.00048191411692853864    -1.629477912137559e-05    -0.00041623941709459687    0.00013309268327856783    
Lambda        AB|PS|PS_r                5258.519887384209    All      1.2293923181460059e-05     3.8892970294007914e-05    2.7889513911775372e-05     9.908765641192535e-06     
Lambda        AB|PS|PS_g                4140.788179989015    All      -0.0005570121723457934     0.00018402809661286328    -0.00163028449939318       0.00016862908551849872    
Lambda        AB|PS|PS_z                7319.772348379426    All      -0.00014531793961116188    3.81087357454686e-05      0.00024287743679173748     7.058660723032526e-05     
MWEBV         All|All|All               All                  All      -0.5260859958124562        -3.3151087733822138       0.09926819218120109        -0.9040465912836915       
Redshift      All|All|All               All                  All      6.834097623904746          0.349242516950099         -2.040832881909549         -2.203403652044383        
