#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4505.242700658537     All      -0.3331237558984297       0.5006179976554392         0.42845131928676006       0.29069693299549026        
Zeropoint     AB|PS|PS_z                6271.223015079782     All      0.6670614499933621        -0.07571194679627524       -0.8117899148711194       -0.27817218733777876       
Zeropoint     AB|PS|PS_g                3547.6248302539934    All      -0.5360896853429682       0.17255016446231508        -0.653542598995771        0.20166270805956435        
Zeropoint     AB|PS|PS_i                5456.824641099357     All      1.1964878517911601        0.40157380760081907        1.038611885588414         -0.21258117780610045       
Check         All|All|All               All                   All      0.9943358605431245        0.9990300229222981         0.0017306910082837135     0.0016062759111754032      
Lambda        AB|PS|PS_r                4505.242700658537     All      -0.000176647645297655     -0.00016512878808261423    -0.001273287159906751     -5.306888719615118e-05     
Lambda        AB|PS|PS_z                6271.223015079782     All      7.674341656775419e-05     -8.334333441668845e-05     -0.0010129733439429636    -9.73498694151885e-05      
Lambda        AB|PS|PS_g                3547.6248302539934    All      -0.0010061834390090861    0.000432815350139639       -0.0006552333444083724    0.0004394891924966704      
Lambda        AB|PS|PS_i                5456.824641099357     All      5.661937608309115e-05     -5.434115408944162e-05     -0.0014889670096979344    -0.00010258925423490222    
MWEBV         All|All|All               All                   All      -0.46594416699348784      -2.632913728524855         -0.10120427117302766      -0.710369559179828         
Redshift      All|All|All               All                   All      3.175641380169918         -0.12288049220359198       0.16212917332604215       -1.0672020116051604        
