#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4588.7647972397635    All      -1.0054132352140728        1.0235772993482328        -0.008851637663691236     0.660513960977974         
Zeropoint     AB|PS|PS_r                5827.419779989297     All      0.7835874711531468         0.23375106160496983       -0.15452636612382367      -0.18599560967659307      
Zeropoint     AB|PS|PS_z                8111.6715504490385    All      0.3716183427291935         -0.08217823228742205      0.081512454123668         -0.14417894749240165      
Zeropoint     AB|PS|PS_i                7058.267436919051     All      0.8483527124277106         -0.17665087621647757      0.08256541693407579       -0.33019287508932244      
Check         All|All|All               All                   All      0.9981452910959778         0.998499252449303         0.0006998672702288877     0.00014652871965686876    
Lambda        AB|PS|PS_g                4588.7647972397635    All      -0.00026084807978477833    0.0001744866004140284     -0.0003711593884119929    0.00012523968859490676    
Lambda        AB|PS|PS_r                5827.419779989297     All      -0.00017007367144500758    -7.594695792069483e-05    -0.0005304645583566167    6.987970367901058e-06     
Lambda        AB|PS|PS_z                8111.6715504490385    All      3.071147345353327e-05      3.090307718761416e-05     0.000303143656693626      1.3590320749546469e-05    
Lambda        AB|PS|PS_i                7058.267436919051     All      -0.0005989931502048112     -1.620002136997537e-05    -0.0011076542919027615    0.00014040537161047475    
MWEBV         All|All|All               All                   All      -0.6309733396960104        -3.8480869363326065       0.009747262154417957      -1.0474847627757136       
Redshift      All|All|All               All                   All      4.6792725284696655         0.6834899325187216        3.5395429918275148        -1.1436043016516528       
