#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4555.542039041545     All      -0.21373150435550425      0.2149896408013774         -0.873204695162488        0.10068146642332924        
Zeropoint     AB|PS|PS_g                3587.2327256880894    All      -0.5776875338419329       0.3919403341859251         0.41861969162265544       0.3345207706124306         
Zeropoint     AB|PS|PS_z                6341.2388587245       All      0.9678497879012378        0.10409289638051433        1.0230603283269635        -0.23569955261886952       
Zeropoint     AB|PS|PS_i                5517.748033545956     All      0.8203052124780341        0.28761416394917916        -0.5624113921027365       -0.1986128368882508        
Check         All|All|All               All                   All      0.9967359621818347        0.998637035316996          0.006063932684394424      0.0008898475286395202      
Lambda        AB|PS|PS_r                4555.542039041545     All      -0.0001546401451497736    -0.0001171351265604753     -0.0015192581155562075    -5.5580893564137505e-05    
Lambda        AB|PS|PS_g                3587.2327256880894    All      -0.0009392073031634055    0.0005115808625138752      -0.0004890412322241534    0.00045074577096500707     
Lambda        AB|PS|PS_z                6341.2388587245       All      0.00010115094102324304    -1.6235751474558822e-05    -0.0005517309832203428    -6.285792742638073e-05     
Lambda        AB|PS|PS_i                5517.748033545956     All      9.829872573259533e-05     3.3602353260087125e-05     0.0002271691745132959     -1.0936220053481e-05       
MWEBV         All|All|All               All                   All      -0.4677997376678915       -2.64354958330415          0.1389795304212614        -0.7025112866347055        
Redshift      All|All|All               All                   All      4.117518878796099         -0.38622869666209425       -1.4389901447089395       -1.5312342753365855        
