#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6402.101350581134    All      1.1368520764522858         -0.010137153426725831      0.8092952383186065         -0.33749699746884776      
Zeropoint     AB|PS|PS_z                7357.576608243209    All      0.4374827523670993         -0.05548512729944832       0.023464584631507863       -0.159528739925743        
Zeropoint     AB|PS|PS_g                4162.174013447598    All      -0.8494698252534715        0.7160270508986599         0.33781465215062856        0.5250089522790774        
Zeropoint     AB|PS|PS_r                5285.6784440797      All      0.2720106068373309         0.3480108152608352         -1.169637463234917         -0.027439779817485126     
Check         All|All|All               All                  All      0.9968756104032446         0.998415585433321          0.0009370118658260651      0.0005434350670015034     
Lambda        AB|PS|PS_i                6402.101350581134    All      -0.00038201978735311233    5.220018354973287e-06      -0.00029771444844886954    0.00011285111604905228    
Lambda        AB|PS|PS_z                7357.576608243209    All      -0.00024885985547874956    -3.7310265096613566e-05    -0.0011344445504520135     1.8283611390947937e-05    
Lambda        AB|PS|PS_g                4162.174013447598    All      -0.0006943916819274151     0.00039039092935435547     -0.0011761028132535596     0.00030086531787167195    
Lambda        AB|PS|PS_r                5285.6784440797      All      1.957662294042333e-05      5.673343754692505e-05      -0.0008620610336518343     -2.636662768853407e-05    
MWEBV         All|All|All               All                  All      -0.5481983250042668        -3.3525019066757977        -0.01688045932052813       -0.9142072327682226       
Redshift      All|All|All               All                  All      6.840494169175688          0.11150030881736939        6.46679233472971           -1.9032714366450647       
