#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6539.760484644833    All      0.8145203075695084         -0.04224223494855295       0.5962468406566372        -0.25246798871273685      
Zeropoint     AB|PS|PS_r                4698.159851221052    All      -0.14454955383536983       0.6465099846836964         1.208762413142476         0.31161563163504413       
Zeropoint     AB|PS|PS_g                3699.536218605477    All      -0.6609556545997151        0.28731477205976574        -0.38322461440581934      0.2917813206794409        
Zeropoint     AB|PS|PS_i                5690.489091790622    All      0.9855836932936651         0.10751083608280254        -1.423270969445407        -0.34953126385175354      
Check         All|All|All               All                  All      0.9945987924280886         0.9990933578777117         -0.0014863300521132938    0.001397699749994652      
Lambda        AB|PS|PS_z                6539.760484644833    All      -0.0002495920643322875     -1.8258352822595517e-06    -0.0003244362955677811    6.62275102792319e-05      
Lambda        AB|PS|PS_r                4698.159851221052    All      -0.00019902053860620602    -3.3178760526611014e-05    -0.000708815957508173     2.2388922443314438e-05    
Lambda        AB|PS|PS_g                3699.536218605477    All      -0.0010942578376389434     0.0004637382971242367      -0.0007018030242990206    0.00047617235193296885    
Lambda        AB|PS|PS_i                5690.489091790622    All      -0.00015178697353271646    -1.897825009516851e-05     9.107661444495716e-05     4.732450150374824e-05     
MWEBV         All|All|All               All                  All      -0.4719264974485893        -2.8154468626143014        -0.04216661589270753      -0.7652433848674309       
Redshift      All|All|All               All                  All      5.416787398841341          0.5557681127418945         4.11501685199799          -1.3997596017510494       
