#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4132.434202490718    All      -0.7258465569455324        0.6109892242285753         0.10334797088756842        0.44006333979990375        
Zeropoint     AB|PS|PS_r                5247.910903078794    All      -0.08557595315634703       0.5075320392913696         -1.037353530445051         0.1469024621422621         
Zeropoint     AB|PS|PS_i                6356.356678859599    All      1.2597926818094034         -0.05224216137147408       0.5221336485258465         -0.40407248642763405       
Zeropoint     AB|PS|PS_z                7305.004818423045    All      0.5503424159301687         -0.0700037992993785        0.4146692884462455         -0.18356238524834256       
Check         All|All|All               All                  All      0.9987125876376928         0.9962753028490923         0.002797377414609503       -0.0006690697338107565     
Lambda        AB|PS|PS_g                4132.434202490718    All      -0.0003951250523059281     0.0002878833705570195      -0.00020546525567089312    0.00021330934294333396     
Lambda        AB|PS|PS_r                5247.910903078794    All      -0.00017908271216076277    -7.306417474877919e-06     -0.0022114937819629594     -4.2735620014019736e-05    
Lambda        AB|PS|PS_i                6356.356678859599    All      -0.0005637663523321995     1.990703430964558e-06      -0.0008095485308213742     0.00014815925310769895     
Lambda        AB|PS|PS_z                7305.004818423045    All      -9.977025222020764e-05     -1.5818362695186113e-05    -0.0003841770273944435     1.0201836082079076e-05     
MWEBV         All|All|All               All                  All      -0.5343672248845408        -3.315940185853705         0.026323075471967883       -0.904875146459122         
Redshift      All|All|All               All                  All      5.836435334158521          0.32058849953333635        1.3815198241061921         -1.735041895349393         
