#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6164.893396705487     All      1.2549324990114683         0.07976091383810058        0.2078911019580909        -0.373514822216648         
Zeropoint     AB|PS|PS_g                3487.4742673687274    All      -0.5138995577068963        0.24732426889677583        0.17979344280395493       0.25597899943577           
Zeropoint     AB|PS|PS_r                4428.855569170356     All      -0.3273770470724473        0.6731859580632715         0.41323215168230787       0.34435694134078015        
Zeropoint     AB|PS|PS_i                5364.303281194224     All      0.5744679021948914         -0.0016110649667666621     -0.8081701836565647       -0.2237127955448233        
Check         All|All|All               All                   All      0.9881237964270162         0.9986600758313813         -0.007253487212210974     0.0031083230150788788      
Lambda        AB|PS|PS_z                6164.893396705487     All      -0.0005930525095988131     -0.0003577886336889235     -0.002870318232188244     -5.1455935472280085e-05    
Lambda        AB|PS|PS_g                3487.4742673687274    All      -0.0007882417247928622     0.0004028046978159178      0.0003407810716269653     0.0004031704981829558      
Lambda        AB|PS|PS_r                4428.855569170356     All      3.5868485568877034e-05     -0.00017012092862350367    -0.0008850744922724722    -0.0001065943386429021     
Lambda        AB|PS|PS_i                5364.303281194224     All      -1.3195552141583781e-05    -1.711841871958232e-05     -0.0005420278398401304    -2.546601975117147e-05     
MWEBV         All|All|All               All                   All      -0.437990452193759         -2.60416482547825          -0.10159075227317294      -0.7101277870833602        
Redshift      All|All|All               All                   All      3.200042205107356          1.1203811150931386         2.839131809178419         -0.5507166228523693        
