#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6625.52129612386      All      1.2994625715650285        0.10746581785952003       4.607964137432501         -0.18264028237044166       
Zeropoint     AB|PS|PS_g                3748.0510272056713    All      -0.6082728116736651       0.39627877884438334       0.4498196943185671        0.3472888888077173         
Zeropoint     AB|PS|PS_r                4759.770364671039     All      0.06702733404025707       0.543944722569556         1.6550661380075542        0.22920568385548334        
Zeropoint     AB|PS|PS_i                5765.112766980314     All      0.2361810605210224        -0.04856323402417928      -6.708163985817163        -0.39210513374662964       
Check         All|All|All               All                   All      0.9943981544526429        0.99912608524928          0.004685983941459249      0.001749156546129338       
Lambda        AB|PS|PS_z                6625.52129612386      All      -0.001026987123290593     -8.548276837034313e-05    -0.0036893213920970833    0.00014204147368174252     
Lambda        AB|PS|PS_g                3748.0510272056713    All      -0.0008034595222916837    0.0005564140058911406     0.0007796234526642367     0.0004777465606507573      
Lambda        AB|PS|PS_r                4759.770364671039     All      -8.361783555343625e-05    -3.203658905932004e-05    -0.0008192594484680921    -1.9758077506844438e-05    
Lambda        AB|PS|PS_i                5765.112766980314     All      1.671247912629723e-05     3.623083156610065e-05     0.0025547337163350104     0.00012036380181684035     
MWEBV         All|All|All               All                   All      -0.48000240673750616      -2.8615276111324306       0.03947491510686605       -0.773979524763936         
Redshift      All|All|All               All                   All      4.717923939369072         0.33751242851547403       -0.16940912441891393      -1.4344040914980423        
