#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4100.03646979396      All      -0.7104003338428821        0.6428022357276575         0.48162274254602394        0.46227520693789736       
Zeropoint     AB|PS|PS_z                7247.734555459595     All      0.5477222013784662         -0.029730697826479968      0.6496620470088814         -0.15910397353899983      
Zeropoint     AB|PS|PS_i                6306.5236907184135    All      1.1754452505649782         -0.03935491326636509       0.05541628724794815        -0.39322740471608286      
Zeropoint     AB|PS|PS_r                5206.767981903698     All      -0.016897310986470515      0.42542521790061016        -1.1844741619106123        0.09122135788447129       
Check         All|All|All               All                   All      0.9958698071140918         0.9991418425354226         0.0022269148922413606      0.001165186567285939      
Lambda        AB|PS|PS_g                4100.03646979396      All      -0.0005818759289671055     0.000360398200275415       -0.0009804708831455094     0.00026317577141745464    
Lambda        AB|PS|PS_z                7247.734555459595     All      -0.00025752788403078235    1.1280823096978678e-05     -0.0003334332304257133     7.268024578483334e-05     
Lambda        AB|PS|PS_i                6306.5236907184135    All      -0.0002957924292327861     -1.1628340569561763e-05    -0.00028407887650824245    7.98844568669691e-05      
Lambda        AB|PS|PS_r                5206.767981903698     All      -1.0774955499125333e-05    3.326855105550388e-05      -0.0005196935348789881     -8.84511652240787e-06     
MWEBV         All|All|All               All                   All      -0.5319570517586345        -3.273601442124807         0.07724382594278567        -0.8895967381798082       
Redshift      All|All|All               All                   All      6.494089391792834          0.25529109485091794        4.840040668449566          -1.8161930701512465       
