Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53630.59670162974 0.2255230167010842
Redshift 0.148 0 F
Color -0.17550125092125798 0.016182138703940155
X0 0.0002524503185815573 5.28979194005333e-06
X1 0.8113190355153552 0.15586599967446596
RestFrameMag_0_UX 19.008605970187848 0.0
RestFrameMag_0_B 19.635837931985165 0.02275029264064166
RestFrameMag_0_V 19.784869135768265 0.0
RestFrameMag_0_R 19.90403199975151 0.0
CovDayMaxDayMax 0.050860631061957505 -1
CovDayMaxRestFrameMag_0_B 0.0022550413853062337 -1
CovDayMaxX1 0.00035728206629565505 -1
CovDayMaxColor 0.0005301238735909593 -1
CovRestFrameMag_0_BDayMax 0.002255041385306228 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.000517575815234834 -1
CovRestFrameMag_0_BX1 0.001731948708833049 -1
CovRestFrameMag_0_BColor 0.00022159142251926227 -1
CovX1DayMax 0.00035728206629564687 -1
CovX1RestFrameMag_0_B 0.001731948708833049 -1
CovX1X1 0.02429420985452062 -1
CovX1Color 0.00018967038985652604 -1
CovColorDayMax 0.0005301238735909603 -1
CovColorRestFrameMag_0_B 0.00022159142251926235 -1
CovColorX1 0.000189670389856526 -1
CovColorColor 0.00026186161303355795 -1

dmu_estimate 0.048949045241830656
FirstPhase  -12.36222180291359
LastPhase  43.31991321451168
LatestNegPhase  -1.9391320816566013
EarliestPosPhase  4.16317628071006
NightsNegPhase  3
NightsPosPhase  15

salt3source   1
salt2_version   salt3-f22
