#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3050.453349306373     All      -0.05380417427689099       0.028358897008828876      0.04232725048145536        0.02865208618947207       
Zeropoint     AB|SDSS|SDSS_r            5241.421584421257     All      0.7667701877623475         0.45412343556492374       0.806753579895747          -0.06583762597775454      
Zeropoint     AB|SDSS|SDSS_g            4011.1864590264913    All      -0.8902110205888594        0.5382005076747021        -0.5235764315925762        0.4419158166564751        
Zeropoint     AB|SDSS|SDSS_z            7556.920357155027     All      0.1166714264131327         -0.005511090371967953     0.027947954823503984       -0.03855167653885362      
Zeropoint     AB|SDSS|SDSS_i            6356.139778303623     All      1.0540608454445337         -0.014812865504509887     -0.3483721706532883        -0.3637135825174411       
Check         All|All|All               All                   All      0.9934872647542636         1.0003588843719768        0.005080182954841916       0.002465017811897896      
Lambda        AB|SDSS|SDSS_u            3050.453349306373     All      -4.410996295837181e-05     2.5823843955568736e-05    5.337256589907171e-05      2.516151415052553e-05     
Lambda        AB|SDSS|SDSS_r            5241.421584421257     All      2.6735479409008457e-05     6.296612395503212e-05     -0.0014354589658064777     -5.22564279379361e-05     
Lambda        AB|SDSS|SDSS_g            4011.1864590264913    All      -0.0007616480290968404     0.00038495887308109193    -0.0008068377837545938     0.0003374821256689098     
Lambda        AB|SDSS|SDSS_z            7556.920357155027     All      -1.7196163904603356e-05    -2.682805806227454e-06    -4.4168020919682105e-05    2.7564622906773464e-06    
Lambda        AB|SDSS|SDSS_i            6356.139778303623     All      -0.00042123336858383654    -7.473086187940237e-05    -0.0009290259842474223     7.140910321255286e-05     
MWEBV         All|All|All               All                   All      -0.6696539436290618        -3.271445657114569        0.13350802263552008        -0.8415313076170816       
Redshift      All|All|All               All                   All      6.146364029332499          -0.2565755617762733       -0.329723460089304         -2.1003621189384387       
