#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4023.1982883756536    All      -0.868641188556456         0.5840139392200072         -0.18750430496389248      0.4648101100965505        
Zeropoint     AB|SDSS|SDSS_i            6375.173764161995     All      1.1171696904660555         -0.011961377044222843      -0.1601566589541248       -0.3749421921130272       
Zeropoint     AB|SDSS|SDSS_z            7579.550179693217     All      0.0969448297099558         -0.005617005057523272      0.039276271628163606      -0.03165504415453442      
Zeropoint     AB|SDSS|SDSS_r            5257.11745452408      All      0.7124826575914451         0.40989364765557923        0.3246640895295916        -0.08407492823137193      
Zeropoint     AB|SDSS|SDSS_u            3059.588183960343     All      -0.0640914745252783        0.0236005892821467         -0.01345574024202989      0.02796372227826284       
Check         All|All|All               All                   All      0.9938645146857221         0.999929794055987          0.002823656997708035      0.002101667875879773      
Lambda        AB|SDSS|SDSS_g            4023.1982883756536    All      -0.0007436090696118907     0.00043844521313755576     -0.000459714654493259     0.0003645190146852997     
Lambda        AB|SDSS|SDSS_i            6375.173764161995     All      -0.00046440180230937977    -6.918538190774658e-05     -0.0012489721193841       7.299910099218614e-05     
Lambda        AB|SDSS|SDSS_z            7579.550179693217     All      -1.118100187650269e-05     -2.2823840425089714e-06    -3.614527585349833e-05    1.28557493226855e-06      
Lambda        AB|SDSS|SDSS_r            5257.11745452408      All      -9.573902758422946e-07     3.761858420178206e-05      -0.0020674289718184756    -7.969439565521395e-05    
Lambda        AB|SDSS|SDSS_u            3059.588183960343     All      -4.85839779626913e-05      2.1666218839257458e-05     2.3513867432100866e-05    2.3932116169428854e-05    
MWEBV         All|All|All               All                   All      -0.6626197206135709        -3.3005055478442458        0.06462479049081926       -0.8563622902063299       
Redshift      All|All|All               All                   All      6.019670387761696          -0.7974589779632169        0.10261507029121764       -2.2159840720179207       
