Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53640.24352148757 0.22974850524204457
Redshift 0.1437 0 F
Color -0.03610680063363019 0.016923775813613415
X0 0.00019555056966556319 3.8016593473157675e-06
X1 0.9767082596502119 0.16606767362829122
RestFrameMag_0_UX 19.449110017893897 0.0
RestFrameMag_0_B 19.915010452773856 0.021107579479809447
RestFrameMag_0_V 19.91973371369657 0.0
RestFrameMag_0_R 19.96599423310959 0.0
CovDayMaxDayMax 0.052784375660953786 -1
CovDayMaxRestFrameMag_0_B 0.0008742528934965795 -1
CovDayMaxX1 -0.002399092605275276 -1
CovDayMaxColor 0.00042946183170249985 -1
CovRestFrameMag_0_BDayMax 0.0008742528934965832 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0004455299114964728 -1
CovRestFrameMag_0_BX1 0.0014101667589181215 -1
CovRestFrameMag_0_BColor 0.0002400223690235949 -1
CovX1DayMax -0.002399092605275271 -1
CovX1RestFrameMag_0_B 0.0014101667589181215 -1
CovX1X1 0.027578472224312648 -1
CovX1Color 0.00017729492185689647 -1
CovColorDayMax 0.0004294618317025072 -1
CovColorRestFrameMag_0_B 0.00024002236902359497 -1
CovColorX1 0.00017729492185689636 -1
CovColorColor 0.0002864141877894464 -1

dmu_estimate 0.04925532193522299
FirstPhase  -11.207275935625512
LastPhase  41.16630804618633
LatestNegPhase  -1.5564592879015067
EarliestPosPhase  0.15832343483776118
NightsNegPhase  4
NightsPosPhase  16

salt3source   1
salt2_version   salt3-f22
