#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3398.128057212714    All      -0.19578859113307148       0.13548746097473696       0.07169542462921452       0.11110694634593188       
Zeropoint     AB|SDSS|SDSS_i            7080.579324752047    All      0.6016630493514215         -0.03697044923018922      0.2916428859509601        -0.19500925837339714      
Zeropoint     AB|SDSS|SDSS_z            8418.218589577686    All      0.246246677865823          -0.01941320179552619      0.13385455336848429       -0.08056084881103154      
Zeropoint     AB|SDSS|SDSS_r            5838.811385118263    All      0.9848054086184068         0.23097919424834856       -0.20431822819797496      -0.2546637822909384       
Zeropoint     AB|SDSS|SDSS_g            4468.360498687519    All      -0.6416592086899634        0.6923868229208097        -0.2702778601923028       0.4224814217473706        
Check         All|All|All               All                  All      0.9952673360126165         1.0024698271181798        0.022596775558381132      0.0033544786179353636     
Lambda        AB|SDSS|SDSS_u            3398.128057212714    All      -0.0001518593695078545     0.0001035120863204316     0.00020498844756442166    9.233057757153482e-05     
Lambda        AB|SDSS|SDSS_i            7080.579324752047    All      -0.00041075568388676434    -7.558081052576687e-05    -0.0012454426288349843    5.3599098765669274e-05    
Lambda        AB|SDSS|SDSS_z            8418.218589577686    All      2.9057298726184936e-05     5.275114256787989e-07     2.9552131502220802e-05    -7.974314424984328e-06    
Lambda        AB|SDSS|SDSS_r            5838.811385118263    All      -0.00027396680997735044    -5.961818342856326e-05    -0.0002841510300498124    5.714004411464589e-05     
Lambda        AB|SDSS|SDSS_g            4468.360498687519    All      -0.000345278347968593      0.0001094658078279455     -0.0009569372618191358    0.00010542141724016838    
MWEBV         All|All|All               All                  All      -0.8822741667399292        -3.7373294287991854       0.10614970709318383       -0.9252484534812672       
Redshift      All|All|All               All                  All      7.015146852468272          0.16802372833097934       3.8133116150376845        -2.0601626817189347       
