#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4251.785825861562    All      -0.7888442302153793        0.6481488312234163         -0.22455759839368206      0.45805494151754433        
Zeropoint     AB|SDSS|SDSS_i            6737.394357664717    All      0.8537385720015032         -0.009538876050640965      0.613370391225887         -0.2538259623629308        
Zeropoint     AB|SDSS|SDSS_r            5555.813031293436    All      0.8894058177223589         0.3114981963594943         -0.6008237787545667       -0.21505553063590893       
Zeropoint     AB|SDSS|SDSS_u            3233.425931583479    All      -0.09351441084970308       0.059455050175216684       0.12857258519345383       0.055564789966261546       
Zeropoint     AB|SDSS|SDSS_z            8010.200271147316    All      0.13256975840756563        -0.008810185914498447      0.09053486876529071       -0.04201194374632549       
Check         All|All|All               All                  All      0.9933555070663455         1.0007530157929878         0.007096468036382753      0.002726294738640646       
Lambda        AB|SDSS|SDSS_g            4251.785825861562    All      -0.00046323100515861197    0.0002397745727252118      -0.0007039961510966985    0.00019757593002722346     
Lambda        AB|SDSS|SDSS_i            6737.394357664717    All      -0.0005418606092215091     -1.8271183999502665e-05    -0.0009230453006353985    0.00012935902900161462     
Lambda        AB|SDSS|SDSS_r            5555.813031293436    All      2.4969255760036696e-06     -2.3310426676696723e-05    -0.0010854426217254947    -5.6844622615339805e-05    
Lambda        AB|SDSS|SDSS_u            3233.425931583479    All      -4.68641925681857e-05      3.8159315902668274e-05     0.00013729001433156996    3.382157668869025e-05      
Lambda        AB|SDSS|SDSS_z            8010.200271147316    All      1.6805567600705822e-05     8.428267468455528e-07      6.28947624456101e-05      -2.3928854719256303e-06    
MWEBV         All|All|All               All                  All      -0.8142421256367447        -3.514895443811561         0.11252212627967939       -0.8746702888842021        
Redshift      All|All|All               All                  All      3.2248066946986165         0.47122672958934686        -0.09980226908825607      -0.9013853016203129        
