Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53683.76431176255 0.30246775350011784
Redshift 0.186112 0 F
Color 0.16765856878900876 0.032727946782196024
X0 6.327599079172084e-05 2.5790316324277256e-06
X1 -0.6553954907480785 0.36718286635125796
RestFrameMag_0_UX 20.97795293912504 0.0
RestFrameMag_0_B 21.13900773847043 0.0442529304007298
RestFrameMag_0_V 20.95176282484082 0.0
RestFrameMag_0_R 20.85854642635939 0.0
CovDayMaxDayMax 0.09148674190740805 -1
CovDayMaxRestFrameMag_0_B -0.0017347819328953813 -1
CovDayMaxX1 0.044298035843824586 -1
CovDayMaxColor 6.867224434479503e-05 -1
CovRestFrameMag_0_BDayMax -0.0017347819328953854 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0019583218490518356 -1
CovRestFrameMag_0_BX1 0.00918146814239323 -1
CovRestFrameMag_0_BColor 0.0009034881972741542 -1
CovX1DayMax 0.04429803584382457 -1
CovX1RestFrameMag_0_B 0.00918146814239323 -1
CovX1X1 0.13482325734192577 -1
CovX1Color 0.0031591984934484945 -1
CovColorDayMax 6.867224434479366e-05 -1
CovColorRestFrameMag_0_B 0.0009034881972741544 -1
CovColorX1 0.003159198493448496 -1
CovColorColor 0.0010711185005782553 -1

dmu_estimate 0.09431253614040856
FirstPhase  -13.084453038625876
LastPhase  17.235770515304246
LatestNegPhase  -2.9841066969647665
EarliestPosPhase  7.973926777112104
NightsNegPhase  6
NightsPosPhase  3

salt3source   1
salt2_version   salt3-f22
