Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53996.79048120057 0.26719013602342984
Redshift 0.1716726 0 F
Color -0.0887742489403042 0.017436371208083393
X0 0.00015140340128159082 3.0801957415995006e-06
X1 1.043556255488289 0.23685538715447596
RestFrameMag_0_UX 19.661079244778996 0.0
RestFrameMag_0_B 20.192320814687818 0.022088539663494507
RestFrameMag_0_V 20.250349197250955 0.0
RestFrameMag_0_R 20.326185104545807 0.0
CovDayMaxDayMax 0.07139056878821894 -1
CovDayMaxRestFrameMag_0_B 0.0002621380737313375 -1
CovDayMaxX1 -0.020502617352694045 -1
CovDayMaxColor -0.00013969509890975548 -1
CovRestFrameMag_0_BDayMax 0.000262138073731337 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.00048790358446577 -1
CovRestFrameMag_0_BX1 0.0026394988070323248 -1
CovRestFrameMag_0_BColor 0.00022826708857409724 -1
CovX1DayMax -0.02050261735269402 -1
CovX1RestFrameMag_0_B 0.002639498807032324 -1
CovX1X1 0.0561004744240967 -1
CovX1Color 0.0005961321020444905 -1
CovColorDayMax -0.0001396950989097564 -1
CovColorRestFrameMag_0_B 0.00022826708857409718 -1
CovColorX1 0.00059613210204449 -1
CovColorColor 0.00030402704090607953 -1

dmu_estimate 0.05680216716333512
FirstPhase  -6.447650308261873
LastPhase  43.84558348418119
LatestNegPhase  -1.3332932771244042
EarliestPosPhase  0.3523158256230077
NightsNegPhase  2
NightsPosPhase  12

salt3source   1
salt2_version   salt3-f22
