Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53986.339812211256 0.2994792573550718
Redshift 0.198628 0 F
Color -0.16085139393292125 0.024521334226661827
X0 0.0001329092896872808 4.8215263243186755e-06
X1 0.67320438481846 0.2754466424478415
RestFrameMag_0_UX 19.728682601959655 0.0
RestFrameMag_0_B 20.332748194798185 0.03938705642641129
RestFrameMag_0_V 20.467896909271204 0.0
RestFrameMag_0_R 20.576926366862494 0.0
CovDayMaxDayMax 0.08968782558594532 -1
CovDayMaxRestFrameMag_0_B 0.006531725050972927 -1
CovDayMaxX1 0.024749166922061104 -1
CovDayMaxColor 0.0022703941405897445 -1
CovRestFrameMag_0_BDayMax 0.006531725050972926 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.001551340213937307 -1
CovRestFrameMag_0_BX1 0.008371159385976558 -1
CovRestFrameMag_0_BColor 0.0006973329245339772 -1
CovX1DayMax 0.02474916692206104 -1
CovX1RestFrameMag_0_B 0.00837115938597656 -1
CovX1X1 0.07587085283578904 -1
CovX1Color 0.0031528284466156922 -1
CovColorDayMax 0.002270394140589735 -1
CovColorRestFrameMag_0_B 0.0006973329245339767 -1
CovColorX1 0.0031528284466156896 -1
CovColorColor 0.0006012958322556567 -1

dmu_estimate 0.06326524024006659
FirstPhase  -9.214495415807939
LastPhase  44.97342944495413
LatestNegPhase  -9.211728085157874
EarliestPosPhase  5.859660202115797
NightsNegPhase  1
NightsPosPhase  15

salt3source   1
salt2_version   salt3-f22
