Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53995.7949295533 0.21737180065157596
Redshift 0.132042 0 F
Color 0.023095526314457108 0.017260302192763786
X0 0.0001636538410281765 3.1964031956526917e-06
X1 -2.0011716758331484 0.1595884688800233
RestFrameMag_0_UX 19.83749189305213 0.0
RestFrameMag_0_B 20.109068574757508 0.02120604473882894
RestFrameMag_0_V 20.080333296758234 0.0
RestFrameMag_0_R 20.04370338649015 0.0
CovDayMaxDayMax 0.047250499718508476 -1
CovDayMaxRestFrameMag_0_B 0.00018671210782419815 -1
CovDayMaxX1 -0.018019890214143 -1
CovDayMaxColor 0.00020780961100335223 -1
CovRestFrameMag_0_BDayMax 0.00018671210782419842 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0004496963334652145 -1
CovRestFrameMag_0_BX1 0.0010019752248540013 -1
CovRestFrameMag_0_BColor 0.00024543304747499895 -1
CovX1DayMax -0.01801989021414299 -1
CovX1RestFrameMag_0_B 0.0010019752248540035 -1
CovX1X1 0.025468479399470164 -1
CovX1Color 0.00012225689056753026 -1
CovColorDayMax 0.0002078096110033526 -1
CovColorRestFrameMag_0_B 0.00024543304747499895 -1
CovColorX1 0.000122256890567529 -1
CovColorColor 0.0002979180317855264 -1

dmu_estimate 0.04899289877109933
FirstPhase  -5.67795501695335
LastPhase  40.174627307731846
LatestNegPhase  -0.3618739881591392
EarliestPosPhase  0.5030100002432624
NightsNegPhase  4
NightsPosPhase  23

salt3source   1
salt2_version   salt3-f22
