Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54006.53169212993 0.21598265329293406
Redshift 0.1576255 0 F
Color 0.09787947702968834 0.019738959322032814
X0 0.00013204935832908878 2.9295449956942353e-06
X1 1.1035302090685195 0.19418721773420555
RestFrameMag_0_UX 20.026903831551344 0.0
RestFrameMag_0_B 20.341091096423728 0.024087304213674162
RestFrameMag_0_V 20.208191908559577 0.0
RestFrameMag_0_R 20.184377361688846 0.0
CovDayMaxDayMax 0.04664850652345576 -1
CovDayMaxRestFrameMag_0_B 0.0008616690958355785 -1
CovDayMaxX1 0.002333967130944276 -1
CovDayMaxColor 0.0005026455297819215 -1
CovRestFrameMag_0_BDayMax 0.0008616690958355675 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.000580198224282085 -1
CovRestFrameMag_0_BX1 0.0023283987001250775 -1
CovRestFrameMag_0_BColor 0.0003387230755133124 -1
CovX1DayMax 0.002333967130944246 -1
CovX1RestFrameMag_0_B 0.0023283987001250775 -1
CovX1X1 0.03770867553135176 -1
CovX1Color 0.0007132149402804459 -1
CovColorDayMax 0.0005026455297819286 -1
CovColorRestFrameMag_0_B 0.0003387230755133125 -1
CovColorX1 0.0007132149402804465 -1
CovColorColor 0.00038962651511686617 -1

dmu_estimate 0.05402242788298583
FirstPhase  -14.810438375737839
LastPhase  44.73367757540607
LatestNegPhase  -5.326161293036299
EarliestPosPhase  0.761164012085019
NightsNegPhase  3
NightsPosPhase  14

salt3source   1
salt2_version   salt3-f22
