#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6274.373666875896     All      1.1769618995968298         0.08364746592217642       0.3953028511953338        -0.33848792933579563       
Zeropoint     AB|SDSS|SDSS_z            7459.707266580341     All      0.12128780695070443        0.004507707855339049      0.10110605179605159       -0.03352722149814538       
Zeropoint     AB|SDSS|SDSS_g            3959.5860961638477    All      -0.9149698484428569        0.6010628086459135        -0.0840032692393411       0.49007303231367455        
Zeropoint     AB|SDSS|SDSS_r            5173.995335745231     All      0.6784743108899548         0.2896787110186594        -0.4240200261679039       -0.1455655841877193        
Zeropoint     AB|SDSS|SDSS_u            3011.2119674041273    All      -0.06788776629510263       0.0212674726444817        0.018513880755643974      0.02986698390980702        
Check         All|All|All               All                   All      0.9938664026995293         1.00016416608657          0.0068994883397843765     0.0023592812018212728      
Lambda        AB|SDSS|SDSS_i            6274.373666875896     All      -0.0001504464864534778     -3.026588645423583e-05    -0.0005546933568616584    1.4393358341757256e-05     
Lambda        AB|SDSS|SDSS_z            7459.707266580341     All      -2.2934056809252792e-05    -3.357926217624819e-06    -6.020815912014657e-05    3.6897761538006156e-06     
Lambda        AB|SDSS|SDSS_g            3959.5860961638477    All      -0.0008818777372845191     0.0004767386361417028     -0.0007680320440334813    0.00040827230729434367     
Lambda        AB|SDSS|SDSS_r            5173.995335745231     All      0.00011424932822920664     2.4216858818558556e-05    -0.0019080516211333037    -0.00011447411775436831    
Lambda        AB|SDSS|SDSS_u            3011.2119674041273    All      -6.9008107010263e-05       2.0439895299403792e-05    6.693481198253174e-06     2.9434856427956835e-05     
MWEBV         All|All|All               All                   All      -0.6656306568579189        -3.223077437312938        0.11230989959847282       -0.8280326788957747        
Redshift      All|All|All               All                   All      4.618055812675687          -0.15661796431736263      0.3630281839934524        -1.539068050744608         
