#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4094.5566821051966    All      -0.7660133519229627       0.588053125471788          -0.22066176306784077      0.4312168781284875        
Zeropoint     AB|SDSS|SDSS_u            3113.855282579896     All      -0.10216955807073258      0.05170370544558267        0.12615038864723005       0.05575109666481621       
Zeropoint     AB|SDSS|SDSS_i            6488.248518859456     All      0.9324398848616836        0.03551411407105576        0.4347756016778226        -0.2727561932771225       
Zeropoint     AB|SDSS|SDSS_r            5350.361543011164     All      0.813478693514255         0.3213064226686768         -0.48729187396787926      -0.18206229888572562      
Zeropoint     AB|SDSS|SDSS_z            7713.986637269298     All      0.11456197804496993       0.003923635484781585       0.1556197009999386        -0.02909395554501523      
Check         All|All|All               All                   All      0.9922976464272132        1.0005010031418848         0.008592054289271178      0.003055527085440355      
Lambda        AB|SDSS|SDSS_g            4094.5566821051966    All      -0.0006943597554364641    0.00034941485021305213     -0.001462253538537663     0.00027473806868724964    
Lambda        AB|SDSS|SDSS_u            3113.855282579896     All      -7.821573026373308e-05    4.05912411036917e-05       0.00010602396172503422    4.3430701668975394e-05    
Lambda        AB|SDSS|SDSS_i            6488.248518859456     All      -0.0002586017064649659    -1.5487879462878265e-05    -0.0002507943439195154    6.799837194954855e-05     
Lambda        AB|SDSS|SDSS_r            5350.361543011164     All      0.00025198864950730295    8.824981646865283e-05      -0.0005498452431629993    -7.787219262279513e-05    
Lambda        AB|SDSS|SDSS_z            7713.986637269298     All      5.698073215206697e-07     5.558972748246876e-07      1.0637665784107655e-05    4.7017920707712275e-07    
MWEBV         All|All|All               All                   All      -0.779906197441119        -3.331564616956051         0.2683517077889084        -0.8191837900807334       
Redshift      All|All|All               All                   All      5.7136466975668085        -0.45120502657116646       5.501909958167511         -1.7625700520746013       
