#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5507.556579863602     All      0.7569367592403473        0.19918814982204935        -1.5391875689209245       -0.25036394343989077       
Zeropoint     AB|SDSS|SDSS_z            7940.62560437026      All      0.11010789930703851       -0.004122420069663235      0.113911452751847         -0.03212522812693769       
Zeropoint     AB|SDSS|SDSS_u            3205.3411741338386    All      -0.06546859685974771      0.053428010734357656       0.20110957044075506       0.0477031331415273         
Zeropoint     AB|SDSS|SDSS_g            4214.855840089889     All      -0.8157684129086972       0.7372952137128408         0.25678016483570154       0.5173428368742766         
Zeropoint     AB|SDSS|SDSS_i            6678.874975937323     All      1.0078614477930534        0.01596562989565342        0.9858815380057784        -0.2790977352412405        
Check         All|All|All               All                   All      0.9936690965719943        1.001754584095238          0.018495157113157523      0.0034590632077349803      
Lambda        AB|SDSS|SDSS_r            5507.556579863602     All      0.00023180332447339186    3.424343926323997e-05      -0.0006492945921363977    -9.332678968496364e-05     
Lambda        AB|SDSS|SDSS_z            7940.62560437026      All      6.365782429912235e-06     1.7508059855416134e-06     2.468164498365686e-05     -4.0182119922137824e-07    
Lambda        AB|SDSS|SDSS_u            3205.3411741338386    All      -6.476209666587883e-05    5.0138755039472845e-05     0.00017075860667495655    4.504715987616311e-05      
Lambda        AB|SDSS|SDSS_g            4214.855840089889     All      -0.0007086745323690007    0.0003597446414307313      -0.0017531721806683417    0.00026978325245868704     
Lambda        AB|SDSS|SDSS_i            6678.874975937323     All      -0.0004180293542188465    -1.4065767764193713e-05    -0.0004891949987010849    0.00010975370411485478     
MWEBV         All|All|All               All                   All      -0.7534147487081326       -3.4841192243669994        0.32313139432269544       -0.8750604151910937        
Redshift      All|All|All               All                   All      2.0015594962627103        -0.4936370024093861        -2.0096679025708553       -0.9024498375649198        
