#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5281.490432358506    All      0.8581164828483006        0.45403978315885496       0.6428258302345391        -0.1029347104062911       
Zeropoint     AB|SDSS|SDSS_g            4041.850586627369    All      -0.8999646027512821       0.5665461037944297        -0.5720455151806414       0.4521630198586202        
Zeropoint     AB|SDSS|SDSS_i            6404.73025974891     All      0.9639138070800676        -0.027223535880871452     -0.15702025584742874      -0.3298531329029436       
Zeropoint     AB|SDSS|SDSS_u            3073.773005896547    All      -0.0020461886918299588    0.0020319229234289082     0.006901110067958349      0.0016363399656577071     
Zeropoint     AB|SDSS|SDSS_z            7614.690389156409    All      0.07612021947627835       0.004034059623947428      0.0820862159815805        -0.019817703017216415     
Check         All|All|All               All                  All      0.9961397179615344        0.9994283336197896        0.002747385256007817      0.0011938134978267678     
Lambda        AB|SDSS|SDSS_r            5281.490432358506    All      0.0002833555890394088     0.0001878082910554312     -8.742792861028173e-05    -3.50244052780411e-05     
Lambda        AB|SDSS|SDSS_g            4041.850586627369    All      -0.0011310011170363563    0.0005275596071218915     -0.001864259789102476     0.0004570544407332928     
Lambda        AB|SDSS|SDSS_i            6404.73025974891     All      -3.342437441796221e-05    1.7219426807264853e-05    0.0001782312495931112     2.444999427344733e-05     
Lambda        AB|SDSS|SDSS_u            3073.773005896547    All      -3.239955986710716e-05    2.4480007134021495e-05    6.557395068981614e-05     2.1453810503463673e-05    
Lambda        AB|SDSS|SDSS_z            7614.690389156409    All      3.976821713022999e-06     5.021389285830578e-06     5.114428897623804e-05     2.6225847435023425e-06    
MWEBV         All|All|All               All                  All      -0.6505631407307737       -3.30872429363378         0.25497081148506684       -0.8544723621268902       
Redshift      All|All|All               All                  All      6.570759083882724         -1.3843448072098141       -0.4096364536850805       -2.609519246008923        
