#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3121.639382522684     All      -0.07458882809490892       0.041233591270284364       0.11517769211008362        0.04286702383852598       
Zeropoint     AB|SDSS|SDSS_i            6504.468018592471     All      0.9491622576781651         -0.019299657590465813      -0.09036736132323019       -0.3194925875472031       
Zeropoint     AB|SDSS|SDSS_g            4104.792366021924     All      -0.8711892484770363        0.595031332913365          -0.5471611046500198        0.4531789935027194        
Zeropoint     AB|SDSS|SDSS_z            7733.2702704162075    All      0.09033459769374179        -0.002057134683575157      0.07106562245087802        -0.026923694495617802     
Zeropoint     AB|SDSS|SDSS_r            5363.736522000664     All      0.8991204933265936         0.3856229441739245         0.45941293814632           -0.14676155590443754      
Check         All|All|All               All                   All      0.9928392721265553         1.0005310760835329         0.008127786734031694       0.002868179393986925      
Lambda        AB|SDSS|SDSS_u            3121.639382522684     All      -5.775972285473266e-05     3.18015938112906e-05       8.706470202864693e-05      3.30583650957485e-05      
Lambda        AB|SDSS|SDSS_i            6504.468018592471     All      -0.0002868601095453268     1.1373130453462964e-05     5.480475017980451e-06      9.738894627890981e-05     
Lambda        AB|SDSS|SDSS_g            4104.792366021924     All      -0.0007378023343271327     0.0003269994385335161      -0.0016890720069468552     0.0002714654423156123     
Lambda        AB|SDSS|SDSS_z            7733.2702704162075    All      -3.7922287062677327e-06    -1.5775315398213552e-07    -2.2726514438539646e-06    1.0824502620448222e-06    
Lambda        AB|SDSS|SDSS_r            5363.736522000664     All      0.0002651873132948413      0.00010341654763027847     0.00025935680636673643     -4.112015739163516e-05    
MWEBV         All|All|All               All                   All      -0.7358642399513138        -3.3618371218409493        0.2580698641377405         -0.8438492868087183       
Redshift      All|All|All               All                   All      5.302445287879434          -0.9323523370214915        -1.7904258004039197        -2.1107771855232125       
