#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3121.639382522684     All      -0.09472625500542628       0.039354008191949674       0.03119726833568648        0.04506654363497231       
Zeropoint     AB|SDSS|SDSS_i            6504.468018592471     All      0.9595353027429597         0.006897142096384812       0.16053033631899805        -0.3031418581664079       
Zeropoint     AB|SDSS|SDSS_g            4104.792366021924     All      -0.8908389395215646        0.5586525661620101         -0.9250801397541419        0.4308649923574128        
Zeropoint     AB|SDSS|SDSS_z            7733.2702704162075    All      0.09225430698298542        0.002842785711543172       0.1403384811477948         -0.022861612167490025     
Zeropoint     AB|SDSS|SDSS_r            5363.736522000664     All      0.9265494124817142         0.39274764097285697        0.599228632303983          -0.1471359768349223       
Check         All|All|All               All                   All      0.9927738276806682         1.0004941431347447         0.006214578352320421       0.0027920888235649366     
Lambda        AB|SDSS|SDSS_u            3121.639382522684     All      -5.7556820412892043e-05    3.271038824375175e-05      9.829630647622661e-05      3.3789512261852394e-05    
Lambda        AB|SDSS|SDSS_i            6504.468018592471     All      -0.0003358433808323097     -2.9566412384472136e-06    -0.00018442918970636174    0.0001002019350501925     
Lambda        AB|SDSS|SDSS_g            4104.792366021924     All      -0.0007104782999307175     0.0002546784942679468      -0.0020110391500764426     0.0002246398796867074     
Lambda        AB|SDSS|SDSS_z            7733.2702704162075    All      2.5503600069547003e-06     2.951776091801888e-06      5.734554832804067e-05      2.689822868335101e-06     
Lambda        AB|SDSS|SDSS_r            5363.736522000664     All      0.0002472742344746036      8.589476828298026e-05      0.00016080185065671008     -4.539075330672772e-05    
MWEBV         All|All|All               All                   All      -0.7467246258284659        -3.3429875355798444        0.39205004928768994        -0.828192851139728        
Redshift      All|All|All               All                   All      5.46241271873574           -0.5228672948808466        0.520376161583147          -1.9263806122083698       
