Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54052.95894674152 0.23977552964156384
Redshift 0.157 0 F
Color -0.03288648690063538 0.019032289428204785
X0 0.00015380967044415324 3.561948574776117e-06
X1 0.39586164304039284 0.29447920073403666
RestFrameMag_0_UX 19.736728203551948 0.0
RestFrameMag_0_B 20.175862006109277 0.025143650044587025
RestFrameMag_0_V 20.182420406171886 0.0
RestFrameMag_0_R 20.21726402993981 0.0
CovDayMaxDayMax 0.057492304614892464 -1
CovDayMaxRestFrameMag_0_B 0.0030868929709895647 -1
CovDayMaxX1 0.04619976480004052 -1
CovDayMaxColor 0.0014097281413954863 -1
CovRestFrameMag_0_BDayMax 0.0030868929709895725 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0006322031375646612 -1
CovRestFrameMag_0_BX1 0.004873777608449548 -1
CovRestFrameMag_0_BColor 0.0003369273343005504 -1
CovX1DayMax 0.04619976480004057 -1
CovX1RestFrameMag_0_B 0.004873777608449555 -1
CovX1X1 0.08671799966495707 -1
CovX1Color 0.002108360319319109 -1
CovColorDayMax 0.0014097281413954859 -1
CovColorRestFrameMag_0_B 0.00033692733430055024 -1
CovColorX1 0.002108360319319104 -1
CovColorColor 0.0003622280408789556 -1

dmu_estimate 0.05627563446520405
FirstPhase  -14.371408592496435
LastPhase  8.95148336947303
LatestNegPhase  -0.5428424732239499
EarliestPosPhase  2.057174812857357
NightsNegPhase  5
NightsPosPhase  4

salt3source   1
salt2_version   salt3-f22
