#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3478.9785945142235    All      -0.3235396166932343        0.19989369355402076       -0.15089843555504595       0.16376554546456473       
Zeropoint     AB|SDSS|SDSS_r            5977.732293848288     All      0.9317350280592738         0.1920298635790907        -0.8405173935600458        -0.27845473856609426      
Zeropoint     AB|SDSS|SDSS_i            7249.045207489181     All      0.49253903865025067        0.013847138061962028      0.659414133298338          -0.12649907632782292      
Zeropoint     AB|SDSS|SDSS_z            8618.510481063135     All      0.2001090581620534         -0.027109889657950248     -0.07730515951183838       -0.07746246080557835      
Zeropoint     AB|SDSS|SDSS_g            4574.674722605276     All      -0.3063338353242475        0.6207206984324642        0.4101902382201988         0.32027706722895083       
Check         All|All|All               All                   All      0.994509672854096          0.9993815039695875        0.0008833828916065545      0.001626336994020039      
Lambda        AB|SDSS|SDSS_u            3478.9785945142235    All      -0.0002208757948190897     6.463361489476502e-05     -0.0006639418399368764     6.337113278257416e-05     
Lambda        AB|SDSS|SDSS_r            5977.732293848288     All      -9.88173314198069e-05      -6.981289987158742e-06    0.0002572188440127799      4.139251565550456e-05     
Lambda        AB|SDSS|SDSS_i            7249.045207489181     All      -0.00022235571211962993    -5.513840126145744e-06    -0.00034253874188878573    5.534660076700995e-05     
Lambda        AB|SDSS|SDSS_z            8618.510481063135     All      -5.424242926843224e-05     5.02034869042794e-06      -2.592148645509096e-06     1.918816077994314e-05     
Lambda        AB|SDSS|SDSS_g            4574.674722605276     All      -2.8588472656802794e-05    -7.216321870779602e-05    -0.0005029104206605531     -3.663631064543616e-05    
MWEBV         All|All|All               All                   All      -0.9938720571522612        -3.800754647140714        0.07927653554154386        -0.9107562555763067       
Redshift      All|All|All               All                   All      3.6552580782029955         0.07737285481699274       -3.6616082642983776        -1.3288356858615247       
