#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4007.152231442134    All      -0.8588917415835711       0.565406548646763          -0.08504548991077332      0.46014562153503524        
Zeropoint     AB|SDSS|SDSS_u            3047.385373491169    All      -0.09953126709533376      0.057876637542264575       0.22195901552287678       0.06117794454860992        
Zeropoint     AB|SDSS|SDSS_z            7549.32002820771     All      0.03401427298001366       -0.0017832326328459658     -0.010518991137298261     -0.01212983954354055       
Zeropoint     AB|SDSS|SDSS_i            6349.747127479335    All      1.0916303070815294        0.03838627794987559        0.07045664510885175       -0.33993207451196783       
Zeropoint     AB|SDSS|SDSS_r            5236.150054974019    All      0.8243309843820349        0.3411983909220595         -0.18845314014097614      -0.16578197839064793       
Check         All|All|All               All                  All      0.9915525557646732        1.0010846224281167         0.008398039442680805      0.0034796736374888837      
Lambda        AB|SDSS|SDSS_g            4007.152231442134    All      -0.000596613179268735     0.0003173015713294494      -0.0005577120507172761    0.00027280397382733475     
Lambda        AB|SDSS|SDSS_u            3047.385373491169    All      -7.530515187639991e-05    3.3690110026447254e-05     9.976866181668079e-05     3.995555979535259e-05      
Lambda        AB|SDSS|SDSS_z            7549.32002820771     All      -8.100860376060666e-06    -2.0361508342381076e-06    -2.302807272962769e-05    9.478382989783599e-07      
Lambda        AB|SDSS|SDSS_i            6349.747127479335    All      -0.0004974318097084212    -8.331621220939364e-05     -0.0012461857765980044    7.927952641859965e-05      
Lambda        AB|SDSS|SDSS_r            5236.150054974019    All      0.0001665700327372361     3.959393501665701e-05      -0.0015294410309240922    -0.00010961222115869048    
MWEBV         All|All|All               All                  All      -0.7360711807799007       -3.266988299451512         0.005370534246162961      -0.8241633079739047        
Redshift      All|All|All               All                  All      4.938670580304963         -0.16887600379522638       -3.777652973496859        -1.8322752578075765        
