Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54355.21348706656 0.28413701799794405
Redshift 0.2 0 F
Color -0.08049474958876021 0.02195960292653338
X0 0.00011081162203572461 3.1843866117952566e-06
X1 1.0269758502590183 0.31586729959110443
RestFrameMag_0_UX 20.01060342616165 0.0
RestFrameMag_0_B 20.531298117819205 0.031200733017503767
RestFrameMag_0_V 20.58098936692426 0.0
RestFrameMag_0_R 20.652077964945754 0.0
CovDayMaxDayMax 0.08073384499676399 -1
CovDayMaxRestFrameMag_0_B 0.0003969708040876024 -1
CovDayMaxX1 0.0009750863675129988 -1
CovDayMaxColor -0.0002974858017303421 -1
CovRestFrameMag_0_BDayMax 0.00039697080408758315 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0009734857408295497 -1
CovRestFrameMag_0_BX1 0.006853598829917779 -1
CovRestFrameMag_0_BColor 0.0003213603295576378 -1
CovX1DayMax 0.0009750863675128933 -1
CovX1RestFrameMag_0_B 0.006853598829917781 -1
CovX1X1 0.09977215095097654 -1
CovX1Color 0.0007973607971421832 -1
CovColorDayMax -0.000297485801730357 -1
CovColorRestFrameMag_0_B 0.00032136032955763804 -1
CovColorX1 0.000797360797142187 -1
CovColorColor 0.0004822241606910134 -1

dmu_estimate 0.08139430836796066
FirstPhase  -7.405773388800299
LastPhase  42.54947244453433
LatestNegPhase  -5.711040055466583
EarliestPosPhase  2.583018277867571
NightsNegPhase  2
NightsPosPhase  13

salt3source   1
salt2_version   salt3-f22
