#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5453.28924073354      All      0.7420618915074761        0.32628461736727843       -0.6484356280454194        -0.16436904077603265      
Zeropoint     AB|SDSS|SDSS_z            7862.384624667445     All      0.1219517579246237        -0.0023118144232725513    0.11988666852991423        -0.03512674226687232      
Zeropoint     AB|SDSS|SDSS_i            6613.066342277231     All      0.9833616598548502        0.016825303266365665      0.6905555001203831         -0.2840163690788248       
Zeropoint     AB|SDSS|SDSS_g            4173.325806227914     All      -0.7614701064301842       0.5879442025300108        -0.3452538146228537        0.42414154278725213       
Zeropoint     AB|SDSS|SDSS_u            3173.7581419848384    All      -0.09205675649966635      0.07234230054873336       0.19559112843935036        0.06227851519367777       
Check         All|All|All               All                   All      0.9938484463570997        1.0010846092891157        0.012343854421374617       0.0029079058592000814     
Lambda        AB|SDSS|SDSS_r            5453.28924073354      All      0.00020951929051222265    4.514498326927363e-05     -0.000984334085903671      -9.746842899405603e-05    
Lambda        AB|SDSS|SDSS_z            7862.384624667445     All      6.545887117502143e-06     1.2586284259968021e-06    2.240642015195573e-05      -7.223384790512724e-07    
Lambda        AB|SDSS|SDSS_i            6613.066342277231     All      -0.0003060139815549894    -1.760867909540618e-05    -0.00038619686267181647    7.67089030206985e-05      
Lambda        AB|SDSS|SDSS_g            4173.325806227914     All      -0.0007283885523316478    0.00031369531876249346    -0.001581700595849104      0.00026885696725173096    
Lambda        AB|SDSS|SDSS_u            3173.7581419848384    All      -5.830570464073422e-05    4.642353120365952e-05     0.00012820033595946614     3.983474979506209e-05     
MWEBV         All|All|All               All                   All      -0.7699930752280264       -3.402423883015082        0.3484648089322848         -0.8419189345157436       
Redshift      All|All|All               All                   All      3.0567457033717225        -0.3526946637951056       2.893711920778726          -0.9814338221563983       
