#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7601.863808726892     All      0.11771521059735597       0.003447216715102286       0.16355624516639633       -0.029922080877673417     
Zeropoint     AB|SDSS|SDSS_g            4035.0422833367593    All      -0.7767447161062194       0.5638255564907269         0.0008864531104268991     0.4367073995677768        
Zeropoint     AB|SDSS|SDSS_u            3068.595382819665     All      -0.0720731051880554       0.037206415704815754       0.10576666574023674       0.040315815667519087      
Zeropoint     AB|SDSS|SDSS_r            5272.594015254688     All      0.7782013064395465        0.3650085879128184         -0.5357215699055118       -0.158497255245532        
Zeropoint     AB|SDSS|SDSS_i            6393.941799075182     All      0.946456747845227         0.03088733290432799        0.27468702868820305       -0.28597305928684535      
Check         All|All|All               All                   All      0.9935554435878547        1.0003751097277913         0.009174822799751237      0.0026308198252451565     
Lambda        AB|SDSS|SDSS_z            7601.863808726892     All      -3.544253937025843e-06    1.2664796660257426e-06     1.3147305301726269e-05    2.153718055175272e-06     
Lambda        AB|SDSS|SDSS_g            4035.0422833367593    All      -0.0006678028195536551    0.0003546656079784689      -0.0009586831223434161    0.000290269980381458      
Lambda        AB|SDSS|SDSS_u            3068.595382819665     All      -6.06115050431703e-05     3.560170241815777e-05      0.00013269932764268163    3.7261568517386144e-05    
Lambda        AB|SDSS|SDSS_r            5272.594015254688     All      0.0001529014381294253     6.0087329099057273e-05     -0.0012513409879767964    -8.60742098968043e-05     
Lambda        AB|SDSS|SDSS_i            6393.941799075182     All      -0.0003238788081296089    -2.2826309381896358e-05    -0.0002988408872161196    8.472680690524567e-05     
MWEBV         All|All|All               All                   All      -0.7365793081190928       -3.273358487738598         0.2709088011414784        -0.8142230208023201       
Redshift      All|All|All               All                   All      5.47517532259247          -0.5135412121800798        -1.3309252692731643       -2.0101150803462455       
