#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8473.557454168898     All      0.1623494627997468         -0.009555403431349418      0.1680059710756253         -0.04849773556799204       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5922.240775343875     All      0.4788788523495804         0.03802736480658098        0.01825938949211118        -0.14278500038520528       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4575.090780470022     All      -0.12925009705751445       0.17911289312282364        -0.02805437202925404       0.09919203296818577        
Zeropoint     AB|SDSS|SDSS_u                           3420.46634011909      All      -0.15295596659554667       0.05491243897122189        -0.1091757121006471        0.06283756775536806        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5116.083105692167     All      0.3018251921009239         0.2157586484742069         0.7174266454195679         0.003980751399271603       
Zeropoint     AB|SDSS|SDSS_i                           7127.124946763444     All      0.380586720191446          0.003316813235088034       0.6834057802056738         -0.09239195930559632       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4188.085228968449     All      -0.3012492815207788        0.20479187398283472        -0.20387735555164244       0.1557361426035956         
Zeropoint     AB|SDSS|SDSS_r                           5877.193994119975     All      0.5567060599842972         0.017312645185185715       -1.4041203990844362        -0.23835762523572615       
Zeropoint     AB|SDSS|SDSS_g                           4497.734171270426     All      -0.1944991385931506        0.22677616547088775        -0.05417999370509768       0.13480542180014332        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3422.6043269050133    All      -0.10777616532150922       0.06675260188639953        0.21477770045021455        0.06643430363830233        
Check         All|All|All                              All                   All      0.9946156383374947         0.9972060417038797         0.0024676541721152523      0.0009538996703468694      
Lambda        AB|SDSS|SDSS_z                           8473.557454168898     All      -1.9579611346540306e-05    9.215507152858229e-07      4.09840516850238e-06       6.86079595111106e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5922.240775343875     All      -5.561173676844089e-05     3.1122517432494256e-06     8.133709811744108e-05      2.2758036141296334e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4575.090780470022     All      -3.0535407443976126e-05    -9.725810388877336e-07     -0.00019566412069274049    8.979940945221321e-07      
Lambda        AB|SDSS|SDSS_u                           3420.46634011909      All      -0.00012478848711881412    1.9753794325196854e-05     -0.00029343609307275247    3.398747123551918e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5116.083105692167     All      6.041529928000347e-05      3.5735637898038756e-05     0.00011015344377884774     -3.1233353694666378e-06    
Lambda        AB|SDSS|SDSS_i                           7127.124946763444     All      -0.00024460668532917017    1.7322735790758875e-06     -0.0004824667643867205     5.8710427422562e-05        
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4188.085228968449     All      -0.0001835534450433264     6.19736211670478e-05       -0.0005460558589275076     5.560827802518099e-05      
Lambda        AB|SDSS|SDSS_r                           5877.193994119975     All      -9.441425678120082e-05     1.950576928346339e-05      0.00035912797650148546     5.313373252292108e-05      
Lambda        AB|SDSS|SDSS_g                           4497.734171270426     All      -4.087207753838957e-05     -2.8285261209707955e-05    -0.00037864256878444055    -1.2797138630223696e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3422.6043269050133    All      -0.00021361171249905964    0.00012689779334316788     0.00038514394149262915     0.0001281023536894846      
MWEBV         All|All|All                              All                   All      -0.9710812492483147        -3.759522568912299         0.2879368136970691         -0.8954377772597675        
Redshift      All|All|All                              All                   All      5.708269293625274          -0.02190934127739297       -0.6767421509102587        -1.8967075926962125        
