#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7456.1614190596265    All      0.07674052468944383        -0.00100011080803597      0.028554328080590205      -0.02404843405551757      
Zeropoint     AB|SDSS|SDSS_i            6271.391247926241     All      1.05472068191702           -0.06161257568315648      -0.7216605167439495       -0.39583086266908724      
Zeropoint     AB|SDSS|SDSS_g            3957.703972906138     All      -1.129018031629769         0.5534761392645748        -0.6107460496842387       0.5207889127321184        
Zeropoint     AB|SDSS|SDSS_r            5171.535963295641     All      0.9957981770942506         0.5079787062681973        1.3062583562448953        -0.10060653942035916      
Check         All|All|All               All                   All      0.9982413520709452         0.9988421590415797        0.0024061178972971664     0.00030307658715442165    
Lambda        AB|SDSS|SDSS_z            7456.1614190596265    All      -1.7319111913512428e-05    8.563190271289447e-07     -7.356167833911754e-07    5.887508612806769e-06     
Lambda        AB|SDSS|SDSS_i            6271.391247926241     All      -0.00031222664249429293    1.4543727082120154e-05    0.0001233049182668536     0.00011194239198012119    
Lambda        AB|SDSS|SDSS_g            3957.703972906138     All      -0.0011286582310871616     0.00037517540209814086    -0.0016783593779675552    0.00041495061837255615    
Lambda        AB|SDSS|SDSS_r            5171.535963295641     All      0.0003301587450304632      0.00014965027462416854    0.0003401444056745211     -4.361846476510922e-05    
MWEBV         All|All|All               All                   All      -0.5689097361050148        -3.247146296653547        0.11029692134663392       -0.8674677141120662       
Redshift      All|All|All               All                   All      5.235687670447589          -0.15925761113120274      -6.771951422555951        -2.0595122561788135       
