Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54401.75616344455 0.2083337541929543
Redshift 0.2 0 F
Color -0.09069095277943903 0.028092566396358497
X0 9.43000418914286e-05 3.1743425758510176e-06
X1 -0.1908064816623326 0.28756621114522385
RestFrameMag_0_UX 20.22186690614172 0.0
RestFrameMag_0_B 20.706739834252037 0.03654821982873263
RestFrameMag_0_V 20.777475956005674 0.0
RestFrameMag_0_R 20.83430177284805 0.0
CovDayMaxDayMax 0.0434029531361303 -1
CovDayMaxRestFrameMag_0_B 0.0026421461279420326 -1
CovDayMaxX1 0.018880450553292853 -1
CovDayMaxColor 0.00101514334441955 -1
CovRestFrameMag_0_BDayMax 0.0026421461279420165 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.001335772372649365 -1
CovRestFrameMag_0_BX1 0.008069825903546542 -1
CovRestFrameMag_0_BColor 0.0007046420059478869 -1
CovX1DayMax 0.01888045055329292 -1
CovX1RestFrameMag_0_B 0.00806982590354654 -1
CovX1X1 0.08269432579241948 -1
CovX1Color 0.003745238336660725 -1
CovColorDayMax 0.0010151433444195355 -1
CovColorRestFrameMag_0_B 0.0007046420059478866 -1
CovColorX1 0.0037452383366607237 -1
CovColorColor 0.0007891922867338106 -1

dmu_estimate 0.07113460025686681
FirstPhase  -13.669393703791382
LastPhase  17.091235462873254
LatestNegPhase  -6.180992037128211
EarliestPosPhase  0.49155629620751523
NightsNegPhase  4
NightsPosPhase  7

salt3source   1
salt2_version   salt3-f22
